Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	R	Ohio	Boehner, John	AAPL	Sold	8000	2014-02-25	0.01291	0.0293	0.04035	NA	NA
2	2014	R	Ohio	Boehner, John	AAPL	Sold	8000	2014-02-25	0.00279	-0.00172	-0.04325	-0.01074	-0.00909
3	2014	R	Ohio	Boehner, John	AMGN	Sold	8000	2014-02-25	0.02229	-0.00903	-0.00668	-0.00966	0.00355
4	2014	R	Ohio	Boehner, John	AMGN	Sold	8000	2014-02-25	-0.03089	-0.06539	-0.09209	-0.13251	-0.09349
5	2014	R	Ohio	Boehner, John	BRCM	Sold	8000	2014-02-25	0.03396	0.00062	0.00903	-0.03738	0.07234
6	2014	R	Ohio	Boehner, John	CMCSA	Sold	8000	2014-02-25	-0.03022	-0.00251	-0.00698	0.04158	0.13612
7	2014	R	Ohio	Boehner, John	CSCO	Purchased	8000	2014-02-25	0.01961	0.01176	0.00148	-0.00201	0.12658
8	2014	R	Ohio	Boehner, John	CSCO	Purchased	8000	2014-02-25	0.01249	-0.00141	-0.02497	-0.03565	0.08774
9	2014	R	Ohio	Boehner, John	INTC	Purchased	8000	2014-02-25	0.03571	-0.00998	-0.03262	-0.02802	-0.01167
10	2014	R	Ohio	Boehner, John	MSFT	Sold	8000	2014-02-25	0.01708	0.02335	0.06407	NA	NA
11	2014	R	Ohio	Boehner, John	MSFT	Purchased	8000	2014-02-25	0.01336	0.00551	-0.00233	0.08909	0.06349
12	2014	R	Ohio	Boehner, John	MSFT	Purchased	8000	2014-02-25	0.00142	0.00476	0.00494	-0.00945	0.18478
13	2014	R	Ohio	Boehner, John	ALL	Sold	8000	2014-02-25	-0.0143	-0.0342	-0.07101	-0.06017	-0.03265
14	2014	R	Ohio	Boehner, John	ALL	Sold	8000	2014-02-25	0.00112	-0.00453	-0.00704	NA	NA
15	2014	R	Ohio	Boehner, John	BNS	Sold	32500	2014-02-25	0.00702	-0.01414	NA	-0.07827	-0.13589
16	2014	R	Ohio	Boehner, John	BNS	Sold	8000	2014-02-25	0.00124	-0.0255	-0.04482	-0.08374	-0.13757
17	2014	R	Ohio	Boehner, John	BNS	Purchased	8000	2014-02-25	-0.00078	-0.0147	-0.03367	-0.04874	-0.20578
18	2014	R	Ohio	Boehner, John	CAH	Sold	8000	2014-02-25	-0.00544	0.01507	-0.03465	-0.10944	-0.02909
19	2014	R	Ohio	Boehner, John	COP	Sold	8000	2014-02-25	-0.0244	-0.03641	-0.06233	NA	NA
20	2014	R	Ohio	Boehner, John	DO	Sold	8000	2014-02-25	-0.02445	-0.00448	-0.10638	-0.00326	-0.07366
21	2014	R	Ohio	Boehner, John	DOV	Sold	8000	2014-02-25	-0.00367	0.00145	0.01962	-0.02708	-0.11029
22	2014	R	Ohio	Boehner, John	EMC	Purchased	32500	2014-02-25	-0.0594	-0.06518	-0.11597	-0.11587	-0.05302
23	2014	R	Ohio	Boehner, John	HD	Sold	8000	2014-02-25	-0.02499	NA	-0.00938	NA	0.06882
24	2014	R	Ohio	Boehner, John	HD	Sold	8000	2014-02-25	-0.01383	-0.01856	0.00317	-0.02444	-0.09518
25	2014	R	Ohio	Boehner, John	HD	Sold	8000	2014-02-25	-0.02007	0.00955	-0.01314	-0.05967	-0.07585
26	2014	R	Ohio	Boehner, John	HD	Sold	8000	2014-02-25	-0.01315	-0.01385	-0.02954	-0.05139	-0.06293
27	2014	R	Ohio	Boehner, John	HD	Sold	8000	2014-02-25	-0.00766	0.01924	0.01098	0.07771	0.04149
28	2014	R	Ohio	Boehner, John	HON	Sold	8000	2014-02-25	-0.00589	-0.00809	0.00241	-0.02053	0.04358
29	2014	R	Ohio	Boehner, John	HON	Sold	8000	2014-02-25	0.00394	0.00828	-0.0059	0.00566	0.03852
30	2014	R	Ohio	Boehner, John	HPQ	Sold	8000	2014-02-25	-0.10358	-0.07846	0.05431	NA	0.41425
31	2014	R	Ohio	Boehner, John	JNJ	Purchased	8000	2014-02-25	-0.01972	-0.01869	-0.00701	0.03814	0.06207
32	2014	R	Ohio	Boehner, John	JNJ	Sold	8000	2014-02-25	-0.00606	-0.0033	-0.03164	-0.00852	-0.0665
33	2014	R	Ohio	Boehner, John	LNC	Sold	8000	2014-02-25	0.03306	0.00721	-0.04621	0.00356	0.06145
34	2014	R	Ohio	Boehner, John	LNC	Sold	8000	2014-02-25	-0.00169	0.04921	0.05025	0.01159	0.08612
35	2014	R	Ohio	Boehner, John	MRK	Purchased	32500	2014-02-25	NA	-0.0023	-0.00332	0.0122	-0.00115
36	2014	R	Ohio	Boehner, John	OXY	Purchased	8000	2014-02-25	-0.02239	-0.04347	-0.1104	-0.09153	-0.0822
37	2014	R	Ohio	Boehner, John	PH	Sold	8000	2014-02-25	-0.00555	-0.01361	0.00073	0.05572	0.03167
38	2014	R	Ohio	Boehner, John	PH	Sold	8000	2014-02-25	0.00106	0.01053	0.01523	0.058	0.06145
39	2014	R	Ohio	Boehner, John	PNC	Purchased	8000	2014-02-25	-0.0192	-0.0403	0.00059	-0.00911	0.06844
40	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	-0.00257	0.00435	-0.01141	0.00366	0.09248
41	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	-0.00204	-0.00548	-0.02817	NA	NA
42	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	0.0185	-0.00543	0.00071	0.05451	0.06054
43	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	0.04206	NA	0.09165	NA	0.10435
44	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	0.01272	0.00395	0.01145	0.03285	0.09537
45	2014	R	Ohio	Boehner, John	PPG	Sold	8000	2014-02-25	0.00709	0.00887	-0.03804	-0.05979	-0.00488
46	2014	R	Ohio	Boehner, John	STT	Sold	8000	2014-02-25	-0.01523	-0.00495	-0.01358	-0.0565	-0.0769
47	2014	R	Ohio	Boehner, John	TEL	Sold	8000	2014-02-25	0.05635	0.05461	0.07563	0.10103	0.22451
48	2014	R	Ohio	Boehner, John	TEL	Sold	8000	2014-02-25	0.00757	0.01699	0.03468	0.03121	0.05317
49	2014	R	Ohio	Boehner, John	TEL	Sold	8000	2014-02-25	0.0172	-0.00143	0.01303	-0.04348	0.14042
50	2014	R	Ohio	Boehner, John	TEL	Sold	8000	2014-02-25	0.05277	0.06107	0.05283	0.07999	0.14041
51	2014	R	Ohio	Boehner, John	TEVA	Purchased	32500	2014-02-25	0.01599	0.02808	0.00868	-0.05184	-0.03722
52	2014	R	Ohio	Boehner, John	TEVA	Purchased	8000	2014-02-25	-0.00793	-0.0173	-0.02058	0.02449	-0.13509
53	2014	R	Ohio	Boehner, John	UNH	Purchased	32500	2014-02-25	0.03503	0.04382	0.04972	0.01172	-0.06773
54	2014	R	Ohio	Boehner, John	UPS	Purchased	32500	2014-02-25	0.00181	0.00781	NA	NA	NA
55	2014	R	Ohio	Boehner, John	UTX	Sold	8000	2014-02-25	-0.00518	-0.01372	0.03391	-0.01286	-0.00228
56	2014	R	Ohio	Boehner, John	WMT	Sold	32500	2014-02-25	0.00278	0.01681	0.04431	0.06851	NA
