Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	D	Iowa	Braley, Bruce	AAPL	Sold	8000	2013-05-30	-0.01477	-0.02363	-0.07644	-0.00043	0.17645
3	2013	D	Iowa	Braley, Bruce	CAR	Sold	8000	2013-05-30	0.02342	-0.02943	-0.02914	-0.08875	0.00108
4	2013	D	Iowa	Braley, Bruce	IPHS	Sold	8000	2013-05-30	-0.01499	-0.02821	-0.04089	-0.05566	-0.15744
5	2013	D	Iowa	Braley, Bruce	MENT	Sold	8000	2013-05-30	-0.00027	0.01533	0.00729	0.09071	0.21624
6	2013	D	Iowa	Braley, Bruce	ROSE	Sold	8000	2013-05-30	-0.03033	-0.03306	-0.06355	-0.05258	-0.02722
7	2013	D	Iowa	Braley, Bruce	SCSS	Sold	8000	2013-05-30	0.01954	0.12534	0.17691	-0.01354	-0.16409
8	2013	D	Iowa	Braley, Bruce	SPPI	Sold	8000	2013-05-30	-0.33156	-0.39922	-0.39289	-0.37189	-0.37963
9	2013	D	Iowa	Braley, Bruce	WFM	Sold	8000	2013-05-30	-0.02156	0.02677	0.15626	0.1604	0.30856
10	2013	D	Iowa	Braley, Bruce	AMT	Sold	8000	2013-05-30	0.00677	-0.01475	-0.0776	-0.13622	-0.09961
11	2013	D	Iowa	Braley, Bruce	ASH	Sold	8000	2013-05-30	-0.02092	-0.01917	-0.03012	-0.052	-0.09205
12	2013	D	Iowa	Braley, Bruce	CCI	Sold	8000	2013-05-30	-0.01717	-0.02057	0.02277	-0.06	-0.04958
13	2013	D	Iowa	Braley, Bruce	CLV	Sold	8000	2013-05-30	0.04893	-0.02674	0.13532	-0.01949	0.04367
14	2013	D	Iowa	Braley, Bruce	CMS	Purchased	8000	2013-05-30	-0.04851	-0.04345	-0.09391	-0.09373	-0.15067
15	2013	D	Iowa	Braley, Bruce	EMC	Sold	8000	2013-05-30	-0.00104	0.0018	-0.0169	0.0208	-0.13898
16	2013	D	Iowa	Braley, Bruce	HAL	Sold	8000	2013-05-30	0.02225	0.02442	0.03782	0.04339	0.13369
17	2013	D	Iowa	Braley, Bruce	INGR	Sold	8000	2013-05-30	-0.02319	0.0013	-0.02206	-0.02033	-0.08295
18	2013	D	Iowa	Braley, Bruce	IP	Sold	8000	2013-05-30	-0.01905	-0.01521	-0.00115	-0.00139	-0.09136
19	2013	D	Iowa	Braley, Bruce	LGF	Sold	8000	2013-05-30	0.05098	0.00041	0.10835	0.17064	-0.01034
20	2013	D	Iowa	Braley, Bruce	MHFI	Sold	8000	2013-05-30	0.00401	-0.00065	0.05114	0.09108	0.1957
21	2013	D	Iowa	Braley, Bruce	NRG	Sold	8000	2013-05-30	0.06208	0.05023	0.06455	0.01252	-0.01737
22	2013	D	Iowa	Braley, Bruce	NUS	Sold	8000	2013-05-30	0.00868	0.05546	0.09701	0.45279	1.15771
23	2013	D	Iowa	Braley, Bruce	OCN	Sold	8000	2013-05-30	0.01992	0.06597	-0.00661	0.12332	0.19267
24	2013	D	Iowa	Braley, Bruce	SCS	Sold	8000	2013-05-30	-0.00598	0.04382	0.09442	0.07394	0.06479
25	2013	D	Iowa	Braley, Bruce	T	Sold	8000	2013-05-30	0.00524	0.03337	0.01939	-0.02234	-0.08911
26	2013	D	Iowa	Braley, Bruce	TKR	Sold	8000	2013-05-30	0.01702	0.02184	0.02948	0.03553	-0.19368
27	2013	D	Iowa	Braley, Bruce	TWI	Sold	8000	2013-05-30	0.04773	0.07945	-0.21099	-0.2542	-0.42792
28	2013	D	Iowa	Braley, Bruce	TWO	Sold	8000	2013-05-30	-0.01216	-0.01335	-0.07756	-0.12728	-0.23218
29	2013	D	Iowa	Braley, Bruce	UGI	Sold	8000	2013-05-30	0.01326	0.02829	0.03368	0.07201	-0.01951
30	2013	D	Iowa	Braley, Bruce	UHS	Sold	8000	2013-05-30	0.0022	0.0244	-0.07538	-0.02415	0.09102
31	2013	D	Iowa	Braley, Bruce	URI	Sold	8000	2013-05-30	-0.09008	-0.12033	-0.09517	-0.0144	0.10467
32	2013	D	Iowa	Braley, Bruce	WMB	Sold	8000	2013-05-30	0.00054	-0.03866	-0.05718	-0.01926	-0.05989
33	2013	D	Iowa	Braley, Bruce	WMT	Sold	8000	2013-05-30	0.01604	0.00251	0.01878	0.00146	-0.01305
