Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2012	R	Fla	Buchanan, Vernon	ADBE	Sold	8000	2012-09-18	0.01835	0.01088	0.05739	0.05813	0.22902
2	2012	R	Fla	Buchanan, Vernon	ADBE	Sold	8000	2012-09-18	0.01222	0.04559	NA	0.10943	0.08361
3	2012	R	Fla	Buchanan, Vernon	CSCO	Sold	8000	2012-09-18	-0.00515	0.00864	-0.05859	0.04389	0.03518
4	2012	R	Fla	Buchanan, Vernon	CSCO	Sold	8000	2012-09-18	0.02424	0.01508	-0.01101	-0.0625	NA
5	2012	R	Fla	Buchanan, Vernon	LINE	Sold	32500	2012-09-18	-0.03987	-0.03369	8e-04	-0.0206	-0.15119
6	2012	R	Fla	Buchanan, Vernon	LINE	Sold	32500	2012-09-18	0.02883	0.03708	0.06809	0.01451	-0.14372
7	2012	R	Fla	Buchanan, Vernon	MSFT	Sold	8000	2012-09-18	-0.00374	-0.01873	0.00477	0.15243	NA
8	2012	R	Fla	Buchanan, Vernon	MSFT	Sold	8000	2012-09-18	-0.01273	-0.03776	-0.07387	-0.07827	-0.15753
9	2012	R	Fla	Buchanan, Vernon	ABT	Sold	8000	2012-09-18	0.02367	0.00553	-0.0065	-0.02317	-0.04155
10	2012	R	Fla	Buchanan, Vernon	ABT	Sold	8000	2012-09-18	-0.02399	-0.01127	0.03596	-0.02391	NA
11	2012	R	Fla	Buchanan, Vernon	BPL	Sold	8000	2012-09-18	-0.01972	-0.01829	0.00964	0.0485	0.18365
12	2012	R	Fla	Buchanan, Vernon	EPB	Sold	8000	2012-09-18	0.02602	0.04654	0.0309	0.0548	0.15007
13	2012	R	Fla	Buchanan, Vernon	EPD	Purchased	8000	2012-09-18	0.00433	0.00257	-0.01697	-0.00027	NA
14	2012	R	Fla	Buchanan, Vernon	EPD	Sold	32500	2012-09-18	-0.00451	0.00905	0.01624	-0.01225	0.04315
15	2012	R	Fla	Buchanan, Vernon	EPD	Sold	32500	2012-09-18	-0.00049	0.02244	0.06998	0.07632	0.10467
16	2012	R	Fla	Buchanan, Vernon	GD	Sold	8000	2012-09-18	-0.01848	-0.01037	-0.02849	0.05342	NA
17	2012	R	Fla	Buchanan, Vernon	GD	Sold	8000	2012-09-18	0.01894	0.02059	0.05404	0.01962	-0.01634
18	2012	R	Fla	Buchanan, Vernon	JNJ	Sold	8000	2012-09-18	-0.00841	-0.00111	0.0477	0.03738	NA
19	2012	R	Fla	Buchanan, Vernon	JNJ	Sold	8000	2012-09-18	0.02608	0.01677	0.06969	0.05274	0.10636
20	2012	R	Fla	Buchanan, Vernon	KMP	Sold	32500	2012-09-18	0.00355	0.04425	0.06824	0.03307	0.03456
21	2012	R	Fla	Buchanan, Vernon	KMP	Sold	32500	2012-09-18	0.00886	0.04409	0.07609	0.05657	-0.02937
22	2012	R	Fla	Buchanan, Vernon	KO	Sold	8000	2012-09-18	-0.00629	-0.01608	0.03103	0.03167	NA
23	2012	R	Fla	Buchanan, Vernon	KO	Sold	8000	2012-09-18	-0.00264	0.00375	-0.00759	0.00337	-0.02206
24	2012	R	Fla	Buchanan, Vernon	MKC	Sold	8000	2012-09-18	0.00838	0.00084	0.01066	0.06485	0.06495
25	2012	R	Fla	Buchanan, Vernon	MKC	Sold	8000	2012-09-18	0.01744	0.01803	0.03592	0.0094	NA
26	2012	R	Fla	Buchanan, Vernon	MMM	Sold	8000	2012-09-18	-0.00707	-0.01064	-0.00589	-0.02638	NA
27	2012	R	Fla	Buchanan, Vernon	MMM	Sold	8000	2012-09-18	0.0106	0.01201	-0.02825	0.00662	0.06451
28	2012	R	Fla	Buchanan, Vernon	MMP	Sold	32500	2012-09-18	-0.00744	0.03141	0.06266	0.09037	0.11431
29	2012	R	Fla	Buchanan, Vernon	MMP	Sold	32500	2012-09-18	0.0236	0.05306	0.03645	0.05986	0.1738
