Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	R	Mich	Camp, Dave	AAPL	Purchased	32500	2014-06-30	0.0263	0.05122	0.08614	NA	NA
2	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	-0.00722	-0.0155	0.05906	-0.01241	0.08402
3	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	NA	-0.17744	NA	-0.17573	-0.31023
4	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	-0.11725	-0.12322	-0.17404	-0.20739	-0.25118
5	2014	R	Mich	Camp, Dave	AAPL	Purchased	32500	2014-06-30	0.00864	0.00462	NA	-0.18465	-0.32013
6	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	-0.02132	NA	NA	-0.18327	-0.46458
7	2014	R	Mich	Camp, Dave	AAPL	Purchased	32500	2014-06-30	-0.01174	-0.01825	0.02494	0.04462	NA
8	2014	R	Mich	Camp, Dave	AAPL	Sold	8000	2014-06-30	-0.05498	-0.0897	-0.03439	-0.13782	-0.40742
9	2014	R	Mich	Camp, Dave	AAPL	Purchased	32500	2014-06-30	-0.00159	-0.01739	0.01267	0.04099	NA
10	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	0.00864	0.00462	NA	-0.18465	-0.32013
11	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	-0.00532	0.03563	-0.08234	-0.088	-0.1143
12	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	-0.0556	-0.08823	-0.17239	-0.26697	-0.36372
13	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	0.06135	0.01462	-0.05816	-0.08836	-0.08493
14	2014	R	Mich	Camp, Dave	AAPL	Purchased	8000	2014-06-30	0.02419	0.01317	-0.08054	0.00355	NA
15	2014	R	Mich	Camp, Dave	AMGN	Purchased	32500	2014-06-30	0.02286	0.03482	0.06659	0.06684	-0.01408
16	2014	R	Mich	Camp, Dave	AMGN	Purchased	75000	2014-06-30	-0.01848	-0.00151	-0.02307	-0.01901	-0.09065
17	2014	R	Mich	Camp, Dave	AMZN	Purchased	8000	2014-06-30	-0.01899	0.00084	0.01161	0.0898	0.2921
18	2014	R	Mich	Camp, Dave	AMZN	Purchased	8000	2014-06-30	NA	0.01942	0.06014	0.09611	0.27069
19	2014	R	Mich	Camp, Dave	AMZN	Purchased	8000	2014-06-30	-4e-04	0.09094	-0.00749	0.04697	NA
