Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month
1	2014	R	FL	Clawson, Curt	ADP	Sold	32500	2014-08-06	-0.0068	-0.00914	0.00629
2	2014	R	FL	Clawson, Curt	CME	Sold	32500	2014-08-06	0.03042	0.03191	0.09747
3	2014	R	FL	Clawson, Curt	INTC	Sold	32500	2014-08-06	0.00342	-0.00546	0.00761
4	2014	R	FL	Clawson, Curt	LLTC	Sold	8000	2014-08-06	0.01006	0.00423	-0.0102
5	2014	R	FL	Clawson, Curt	LLTC	Sold	32500	2014-08-06	-0.01854	-0.01814	-0.00784
6	2014	R	FL	Clawson, Curt	MSFT	Sold	32500	2014-08-06	-0.01983	-0.01745	0.02909
7	2014	R	FL	Clawson, Curt	MSFT	Purchased	32500	2014-08-06	0.01192	0.00967	0.03863
8	2014	R	FL	Clawson, Curt	RFMD	Purchased	32500	2014-08-06	-0.01277	0.02051	0.03501
9	2014	R	FL	Clawson, Curt	ABG	Sold	32500	2014-08-06	-0.00378	0.01291	-0.04723
10	2014	R	FL	Clawson, Curt	BA	Sold	32500	2014-08-06	0.01118	-0.01295	0.02585
11	2014	R	FL	Clawson, Curt	BAX	Sold	8000	2014-08-06	-0.01543	-0.01537	-0.01997
12	2014	R	FL	Clawson, Curt	BLL	Sold	32500	2014-08-06	-0.01563	0.00833	0.00671
13	2014	R	FL	Clawson, Curt	BNS	Sold	8000	2014-08-06	-0.01346	-0.02348	-0.05935
14	2014	R	FL	Clawson, Curt	CSX	Sold	8000	2014-08-06	0.00812	0.00342	0.04367
15	2014	R	FL	Clawson, Curt	DFS	Sold	32500	2014-08-06	-0.00239	0.0034	0.0081
16	2014	R	FL	Clawson, Curt	DGX	Sold	8000	2014-08-06	-0.01611	0.00507	0.00442
17	2014	R	FL	Clawson, Curt	DGX	Sold	32500	2014-08-06	-0.00694	0.00157	-0.00773
18	2014	R	FL	Clawson, Curt	DOW	Sold	32500	2014-08-06	0.00094	-0.00324	0.01438
19	2014	R	FL	Clawson, Curt	DVN	Sold	32500	2014-08-06	-0.00968	-0.01486	-0.05857
20	2014	R	FL	Clawson, Curt	EMES	Sold	32500	2014-08-06	0.13795	0.11477	-0.0751
21	2014	R	FL	Clawson, Curt	EMN	Sold	32500	2014-08-06	-0.01178	0.00631	0.02574
22	2014	R	FL	Clawson, Curt	EMR	Sold	32500	2014-08-06	-0.00233	-0.00621	-0.01034
23	2014	R	FL	Clawson, Curt	EMR	Sold	8000	2014-08-06	0.00191	0.00904	0.01002
24	2014	R	FL	Clawson, Curt	ENB	Sold	32500	2014-08-06	0.00257	-0.00191	-0.02675
25	2014	R	FL	Clawson, Curt	EPR	Sold	32500	2014-08-06	0.00217	0.00329	-0.07331
26	2014	R	FL	Clawson, Curt	GD	Sold	8000	2014-08-06	0.01916	0.03825	0.07124
27	2014	R	FL	Clawson, Curt	GD	Sold	32500	2014-08-06	0.00822	-0.00514	0.03976
28	2014	R	FL	Clawson, Curt	GPC	Sold	32500	2014-08-06	0.00474	0.00435	0.02994
