Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2012	R	NC	Coble, Howard	AAPL	Purchased	8000	2012-08-15	0.03709	0.03612	0.05588	0.1096	NA
2	2012	R	NC	Coble, Howard	ATML	Purchased	8000	2012-08-15	0.0957	0.06631	0.22085	0.42186	0.28116
3	2012	R	NC	Coble, Howard	ATML	Sold	8000	2012-08-15	-0.08353	-0.11319	-0.06964	-0.14999	-0.0663
4	2012	R	NC	Coble, Howard	CSCO	Sold	8000	2012-08-15	0.01203	0.00587	0.0049	-0.04508	-0.23733
5	2012	R	NC	Coble, Howard	CSCO	Sold	8000	2012-08-15	0.00319	-0.01266	0.02869	0.03147	NA
6	2012	R	NC	Coble, Howard	EBAY	Purchased	8000	2012-08-15	-0.01881	-0.06316	-0.0301	0.03936	-0.16513
7	2012	R	NC	Coble, Howard	EBAY	Purchased	8000	2012-08-15	0.00678	0.02918	0.07605	0.07673	NA
8	2012	R	NC	Coble, Howard	EBAY	Sold	8000	2012-08-15	0.03373	0.03556	0.01538	0.03712	NA
9	2012	R	NC	Coble, Howard	ENDP	Sold	8000	2012-08-15	-0.02156	-0.02109	-0.06828	-0.10436	NA
10	2012	R	NC	Coble, Howard	FLEX	Sold	8000	2012-08-15	0.01197	-0.0027	0.03711	0.07445	0.23255
11	2012	R	NC	Coble, Howard	GILD	Sold	8000	2012-08-15	-0.03161	-0.00867	0.12687	0.12392	NA
12	2012	R	NC	Coble, Howard	INTC	Sold	8000	2012-08-15	0.00157	-0.01123	-0.01747	0.00455	-0.01997
13	2012	R	NC	Coble, Howard	IPXL	Purchased	8000	2012-08-15	-0.00704	0.00769	-0.03936	0.00577	0.12731
14	2012	R	NC	Coble, Howard	LINE	Purchased	8000	2012-08-15	-0.01372	0.1172	0.05324	0.24116	0.22907
15	2012	R	NC	Coble, Howard	NUAN	Sold	8000	2012-08-15	-0.01886	-0.01713	0.01112	-0.02534	0.15482
16	2012	R	NC	Coble, Howard	NUAN	Purchased	8000	2012-08-15	0.07582	-0.10369	-0.13562	-0.13856	-0.32463
17	2012	R	NC	Coble, Howard	NUAN	Purchased	8000	2012-08-15	NA	-0.12602	-0.10752	-0.06856	NA
18	2012	R	NC	Coble, Howard	VOD	Sold	8000	2012-08-15	-0.0034	0.01043	-0.00247	0.00916	-0.0786
19	2012	R	NC	Coble, Howard	VOD	Purchased	8000	2012-08-15	-0.02483	-0.01961	-0.05817	-0.09062	-0.01508
20	2012	R	NC	Coble, Howard	ACI	Purchased	8000	2012-08-15	NA	0.01218	0.0536	-0.03727	NA
21	2012	R	NC	Coble, Howard	AVP	Purchased	8000	2012-08-15	0.00638	0.09725	0.13318	0.29753	0.3628
22	2012	R	NC	Coble, Howard	AXP	Sold	8000	2012-08-15	-0.00251	0.00854	-0.0206	-0.01607	NA
23	2012	R	NC	Coble, Howard	BAC	Sold	8000	2012-08-15	-0.03874	-0.05479	0.02579	0.06359	0.26719
24	2012	R	NC	Coble, Howard	BAC	Purchased	8000	2012-08-15	0.03646	0.01051	0.11589	0.19314	NA
25	2012	R	NC	Coble, Howard	BAX	Sold	8000	2012-08-15	-0.00351	0.02346	0.04442	0.00079	-0.02539
26	2012	R	NC	Coble, Howard	BSX	Sold	8000	2012-08-15	0.01197	0.00829	0.18317	0.25028	0.53761
27	2012	R	NC	Coble, Howard	C	Purchased	8000	2012-08-15	0.03147	0.0359	0.12968	0.29134	NA
28	2012	R	NC	Coble, Howard	C	Sold	8000	2012-08-15	-0.02865	-0.03942	0.10986	0.09027	0.25148
29	2012	R	NC	Coble, Howard	CBI	Purchased	8000	2012-08-15	-0.02233	-0.01493	-0.10707	NA	NA
31	2012	R	NC	Coble, Howard	EMC	Purchased	8000	2012-08-15	-0.02735	-0.03138	-0.02259	0.02982	-0.02053
32	2012	R	NC	Coble, Howard	EW	Purchased	8000	2012-08-15	0.00627	-0.00777	-0.00805	-0.18658	-0.16082
33	2012	R	NC	Coble, Howard	GLW	Sold	8000	2012-08-15	0.07362	0.08479	0.14342	0.06897	0.03861
34	2012	R	NC	Coble, Howard	HIG	Sold	8000	2012-08-15	0.01753	0.03748	0.00536	-0.00544	0.09858
35	2012	R	NC	Coble, Howard	HPQ	Purchased	8000	2012-08-15	-0.04373	-0.04098	-0.16463	-0.30031	0.20771
36	2012	R	NC	Coble, Howard	PAY	Sold	8000	2012-08-15	0.08076	0.07324	0.02298	-0.02693	NA
37	2012	R	NC	Coble, Howard	PAY	Purchased	32500	2012-08-15	0.05159	0.05729	0.07977	0.25745	0.39015
38	2012	R	NC	Coble, Howard	PF	Purchased	8000	2012-08-15	-0.01461	-0.00998	-0.05517	-0.06272	NA
40	2012	R	NC	Coble, Howard	T	Sold	8000	2012-08-15	-0.01266	-0.01243	-0.01552	-0.05964	NA
