Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	R	NY	Collins, Chris	ROCK	Purchased	75000	2013-08-02	0.02325	-0.00029	0.01435	-0.10078	NA
2	2013	R	NY	Collins, Chris	ROCK	Purchased	175000	2013-08-02	0.02455	-0.00106	-0.02332	-0.08029	NA
3	2013	R	NY	Collins, Chris	ROCK	Sold	32500	2013-08-02	-0.01307	-0.02334	-0.03142	-0.01462	-0.13265
4	2013	R	NY	Collins, Chris	ROCK	Sold	$250,001 to $500,000	2013-08-02	0.0721	0.07501	0.11606	0.14417	0.01457
5	2013	R	NY	Collins, Chris	TSC	Sold	$250,001 to $500,000	2013-08-02	0.00539	-0.03142	-0.01236	-0.03099	-0.21923
6	2013	R	NY	Collins, Chris	VOD	Purchased	175000	2013-08-02	0.06614	0.08182	0.10705	0.11563	0.25716
7	2013	R	NY	Collins, Chris	VOD	Sold	175000	2013-08-02	0.00127	0.01081	0.11114	0.16416	0.14437
8	2013	R	NY	Collins, Chris	FOE	Sold	75000	2013-08-02	-0.0143	-0.01465	-0.05309	-0.03944	0.08763
9	2013	R	NY	Collins, Chris	GHM	Sold	75000	2013-08-02	0.00577	-0.01246	0.19	0.21011	0.23316
10	2013	R	NY	Collins, Chris	HAL	Sold	75000	2013-08-02	0.00462	0.04611	0.1082	0.07977	0.03783
11	2013	R	NY	Collins, Chris	HPY	Sold	32500	2013-08-02	0.04565	0.0266	0.00645	0.03747	0.04055
12	2013	R	NY	Collins, Chris	NFG	Sold	$250,001 to $500,000	2013-08-02	0.03121	0.02002	0.01658	0.03052	0.09858
13	2013	R	NY	Collins, Chris	OMG	Sold	175000	2013-08-02	-0.0111	-0.00907	0.08066	0.11114	0.04087
14	2013	R	NY	Collins, Chris	WFT	Sold	32500	2013-08-02	0.01074	0.03833	0.09851	0.09933	-0.10462
