Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	D	Texas	Doggett, Lloyd	CSCO	Sold	32500	2013-03-11	-0.01165	-0.04549	-0.04369	0.04637	0.03337
2	2013	D	Texas	Doggett, Lloyd	INTC	Sold	32500	2013-03-11	-0.02054	-0.02303	0.01716	0.0483	0.00139
3	2013	D	Texas	Doggett, Lloyd	LMNX	Sold	32500	2013-03-11	-0.03542	-0.02119	-0.05082	-0.01409	0.03188
4	2013	D	Texas	Doggett, Lloyd	TXN	Sold	32500	2013-03-11	-0.01934	-0.02731	-0.03073	-0.02685	0.05817
5	2013	D	Texas	Doggett, Lloyd	WFM	Sold	32500	2013-03-11	-0.04441	-0.03162	0.00445	-0.13123	0.06116
6	2013	D	Texas	Doggett, Lloyd	WFM	Purchased	8000	2013-03-11	0.0049	-0.0232	-0.03487	-0.05945	-0.17958
7	2013	D	Texas	Doggett, Lloyd	WFM	Sold	32500	2013-03-11	-0.06062	-0.05647	-0.03891	-0.15905	0.0311
8	2013	D	Texas	Doggett, Lloyd	WFM	Purchased	32500	2013-03-11	-0.06062	-0.05647	-0.03891	-0.15905	0.0311
9	2013	D	Texas	Doggett, Lloyd	APA	Sold	175000	2013-03-11	-0.00656	-0.00993	-0.04781	0.00929	0.06035
10	2013	D	Texas	Doggett, Lloyd	APC	Sold	32500	2013-03-11	0.00123	0.04622	-0.04344	0.00684	0.02262
11	2013	D	Texas	Doggett, Lloyd	BAC	Sold	8000	2013-03-11	NA	0.05519	-0.01393	-0.02725	0.01303
12	2013	D	Texas	Doggett, Lloyd	BAC	Sold	8000	2013-03-11	0.05114	0.02248	-0.03048	0.0349	0.10023
13	2013	D	Texas	Doggett, Lloyd	BAX	Sold	32500	2013-03-11	-0.00376	0.0137	0.00971	-0.02781	-0.05527
14	2013	D	Texas	Doggett, Lloyd	BMY	Sold	32500	2013-03-11	0.05331	0.07476	0.10283	0.09364	0.12513
15	2013	D	Texas	Doggett, Lloyd	C	Sold	8000	2013-03-11	-0.03333	-0.06344	-0.03315	0.01088	-0.02584
16	2013	D	Texas	Doggett, Lloyd	CVX	Sold	175000	2013-03-11	0.01382	-0.01409	-0.02474	-0.01624	-0.04464
17	2013	D	Texas	Doggett, Lloyd	FE	Sold	32500	2013-03-11	-0.03771	-0.0843	-0.10088	-0.11669	-0.25917
18	2013	D	Texas	Doggett, Lloyd	HON	Sold	75000	2013-03-11	0.00697	0.01529	-0.02066	0.02857	0.0661
19	2013	D	Texas	Doggett, Lloyd	IP	Sold	8000	2013-03-11	-0.03893	-0.03898	-0.01518	-0.04533	-0.03317
20	2013	D	Texas	Doggett, Lloyd	MRK	Sold	175000	2013-03-11	0.01519	0.01197	0.08714	-0.00689	0.03685
21	2013	D	Texas	Doggett, Lloyd	NOK	Sold	8000	2013-03-11	-0.05703	-0.09824	-0.00579	-0.0409	0.62575
22	2013	D	Texas	Doggett, Lloyd	ORCL	Sold	75000	2013-03-11	-0.00038	-0.12729	-0.08839	-0.09391	-0.17538
23	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	-0.003	NA	0.027	NA	NA
24	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	-0.01838	-0.0142	0.00112	-0.01174	-0.02083
25	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	0.00232	-0.00153	-0.00013	0.01529	NA
26	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	-0.01641	-0.03216	0.00913	0.05953	0.00603
27	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	0.00477	0.00038	-0.02916	-0.05311	-0.02983
28	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	-0.01701	-0.0291	-0.06548	-0.0493	NA
29	2013	D	Texas	Doggett, Lloyd	PG	Purchased	8000	2013-03-11	0.00313	-0.00901	-0.02987	-0.02749	-0.05961
30	2013	D	Texas	Doggett, Lloyd	T	Sold	32500	2013-03-11	-0.00782	-0.00422	0.05052	-0.03534	-0.12977
31	2013	D	Texas	Doggett, Lloyd	UNP	Sold	75000	2013-03-11	0.00386	-0.01621	-0.01377	0.07437	0.03217
32	2013	D	Texas	Doggett, Lloyd	VZ	Sold	32500	2013-03-11	0.02865	0.02996	0.05312	0.05736	-0.06642
33	2013	D	Texas	Doggett, Lloyd	XOM	Sold	175000	2013-03-11	-0.00181	0.00024	-0.02862	-0.03408	-0.08948
34	2013	D	Texas	Doggett, Lloyd	XOM	Purchased	8000	2013-03-11	-0.00658	-0.02472	-0.03247	-0.07466	-0.11331
35	2013	D	Texas	Doggett, Lloyd	XOM	Purchased	8000	2013-03-11	-0.00853	0.02027	0.02904	0.01812	-0.09102
36	2013	D	Texas	Doggett, Lloyd	XRX	Sold	8000	2013-03-11	-6e-05	-0.01624	0.04319	-0.04511	0.11831
