Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	R	NC	Foxx, Virginia	FSYS	Purchased	8000	2014-06-02	-0.00919	0.00678	-0.07268	0.14401	0.17346
2	2014	R	NC	Foxx, Virginia	FSYS	Sold	32500	2014-06-02	0.01999	-0.10404	-0.05691	-0.01043	0.08924
3	2014	R	NC	Foxx, Virginia	FTR	Sold	75000	2014-06-02	0.01056	NA	NA	NA	NA
4	2014	R	NC	Foxx, Virginia	FTR	Sold	32500	2014-06-02	-0.01533	-0.00837	-0.00172	0.06701	0.26478
5	2014	R	NC	Foxx, Virginia	LINE	Purchased	32500	2014-06-02	0.01384	-0.00862	-0.12446	-0.11726	-0.33579
6	2014	R	NC	Foxx, Virginia	LINE	Sold	75000	2014-06-02	-0.02162	-0.03911	-0.08165	-0.34041	-0.24641
7	2014	R	NC	Foxx, Virginia	LINE	Purchased	8000	2014-06-02	0.0101	0.02602	-0.07429	NA	-0.25599
8	2014	R	NC	Foxx, Virginia	LINE	Purchased	8000	2014-06-02	0.05772	0.04696	-0.01046	0.04818	-0.38315
9	2014	R	NC	Foxx, Virginia	MEMP	Purchased	32500	2014-06-02	0.0189	0.04922	0.07958	0.08259	0.12204
10	2014	R	NC	Foxx, Virginia	MEMP	Purchased	8000	2014-06-02	-0.04256	-0.0194	0.01983	-0.02749	NA
11	2014	R	NC	Foxx, Virginia	MEMP	Sold	32500	2014-06-02	-0.01079	NA	NA	NA	NA
12	2014	R	NC	Foxx, Virginia	MEMP	Sold	75000	2014-06-02	0.04475	0.03503	0.02693	0.00879	0.09596
13	2014	R	NC	Foxx, Virginia	STB	Sold	75000	2014-06-02	0.03242	-0.01241	-0.01913	-0.02796	NA
14	2014	R	NC	Foxx, Virginia	STB	Sold	32500	2014-06-02	0.01231	-0.02191	-0.03944	-0.0137	-0.15581
15	2014	R	NC	Foxx, Virginia	AT	Sold	75000	2014-06-02	0.01666	0.06658	-0.01473	-0.61056	-0.79378
16	2014	R	NC	Foxx, Virginia	AT	Purchased	8000	2014-06-02	-7e-04	NA	-0.10306	-0.01207	-0.76019
17	2014	R	NC	Foxx, Virginia	AT	Sold	32500	2014-06-02	-0.48045	-0.4909	-0.55152	-0.59481	-0.67268
18	2014	R	NC	Foxx, Virginia	BGS	Sold	75000	2014-06-02	-0.01002	-0.01674	-0.04542	0.03286	NA
19	2014	R	NC	Foxx, Virginia	COP	Purchased	32500	2014-06-02	0.0208	0.00909	0.05549	0.07654	-0.0537
20	2014	R	NC	Foxx, Virginia	COP	Sold	75000	2014-06-02	-0.02201	NA	NA	NA	NA
21	2014	R	NC	Foxx, Virginia	F	Sold	32500	2014-06-02	-0.00989	-0.01961	-0.10469	-0.10427	-0.07328
22	2014	R	NC	Foxx, Virginia	F	Purchased	32500	2014-06-02	-0.00061	0.01392	-0.07166	-0.10498	-0.04197
23	2014	R	NC	Foxx, Virginia	F	Purchased	8000	2014-06-02	0.0072	0.02886	0.04099	0.00025	0.0856
24	2014	R	NC	Foxx, Virginia	IP	Sold	32500	2014-06-02	-0.01525	-0.01137	-0.02363	-0.05905	-0.13163
25	2014	R	NC	Foxx, Virginia	IP	Purchased	32500	2014-06-02	0.06101	0.09022	0.07998	0.08244	0.04639
26	2014	R	NC	Foxx, Virginia	KMB	Purchased	75000	2014-06-02	-0.00846	-0.01076	-0.03484	-0.02554	-0.03094
27	2014	R	NC	Foxx, Virginia	KMB	Sold	32500	2014-06-02	NA	NA	NA	NA	NA
28	2014	R	NC	Foxx, Virginia	LRE	Purchased	32500	2014-06-02	0.02533	0.03682	-0.16761	-0.13195	-0.03466
29	2014	R	NC	Foxx, Virginia	LRE	Sold	32500	2014-06-02	-0.03862	-0.0458	-0.07496	-0.13334	0.02728
30	2014	R	NC	Foxx, Virginia	MO	Purchased	8000	2014-06-02	0.00254	0.00479	-0.05374	-0.05634	-0.05686
31	2014	R	NC	Foxx, Virginia	MO	Sold	8000	2014-06-02	-0.01176	-0.01325	0.0251	0.0107	0.01936
32	2014	R	NC	Foxx, Virginia	MO	Purchased	8000	2014-06-02	NA	-0.00701	NA	-0.01783	0.00527
33	2014	R	NC	Foxx, Virginia	MO	Sold	175000	2014-06-02	-0.01202	-0.00115	0.01619	0.0049	0.06315
34	2014	R	NC	Foxx, Virginia	MOS	Sold	32500	2014-06-02	0.07183	0.02076	0.04095	0.0743	0.03432
35	2014	R	NC	Foxx, Virginia	MOS	Purchased	32500	2014-06-02	0.01658	0.01899	-0.05159	-0.04689	-0.23984
36	2014	R	NC	Foxx, Virginia	MRK	Purchased	32500	2014-06-02	-0.00556	0.00149	-0.09655	-0.14508	-0.06401
37	2014	R	NC	Foxx, Virginia	MSB	Purchased	8000	2014-06-02	-0.04257	-0.05747	-0.13	-0.18622	-0.15057
38	2014	R	NC	Foxx, Virginia	MSB	Purchased	32500	2014-06-02	-0.05294	-0.04841	-0.11235	-0.1824	-0.14541
39	2014	R	NC	Foxx, Virginia	NRP	Sold	32500	2014-06-02	0.05421	0.07023	0.13265	0.15566	NA
40	2014	R	NC	Foxx, Virginia	NRP	Sold	8000	2014-06-02	0.00234	-0.00149	-0.02465	-0.20941	-0.27467
41	2014	R	NC	Foxx, Virginia	NRP	Purchased	8000	2014-06-02	NA	-0.0185	-0.1981	-0.25405	-0.24254
42	2014	R	NC	Foxx, Virginia	NRP	Purchased	32500	2014-06-02	NA	-0.00647	NA	-0.03651	-0.0319
43	2014	R	NC	Foxx, Virginia	NTI	Sold	32500	2014-06-02	-0.05397	-0.05728	-0.01245	-0.13486	-0.12448
44	2014	R	NC	Foxx, Virginia	NTI	Purchased	32500	2014-06-02	0.02087	-0.02056	-0.02177	-0.01538	-0.18517
45	2014	R	NC	Foxx, Virginia	ORI	Purchased	8000	2014-06-02	-0.01967	-0.0429	-0.02784	0.04499	0.16581
46	2014	R	NC	Foxx, Virginia	ORI	Purchased	32500	2014-06-02	-0.0141	-0.03681	-0.00074	0.0732	0.18269
47	2014	R	NC	Foxx, Virginia	PBI	Sold	8000	2014-06-02	-0.02705	-0.03269	NA	NA	NA
48	2014	R	NC	Foxx, Virginia	PBI	Purchased	32500	2014-06-02	0.00116	0.09485	-0.01168	-0.03765	0.27465
49	2014	R	NC	Foxx, Virginia	PBI	Sold	75000	2014-06-02	0.05384	0.06012	0.04116	0.11632	0.24133
50	2014	R	NC	Foxx, Virginia	PWE	Purchased	32500	2014-06-02	-0.09803	-0.1069	-0.11531	0.12246	0.07375
51	2014	R	NC	Foxx, Virginia	PWE	Sold	32500	2014-06-02	0.01363	-0.01712	-0.16693	NA	NA
52	2014	R	NC	Foxx, Virginia	SCCO	Purchased	32500	2014-06-02	-0.05169	-0.00612	NA	-0.01751	-0.05669
54	2014	R	NC	Foxx, Virginia	SIX	Sold	32500	2014-06-02	0.0018	0.03506	0.11354	0.03686	0.15895
