Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	D	Calif	Lowenthal, Alan	AMZN	Purchased	8000	2013-08-06	0.02456	0.01506	0.04886	NA	0.10684
2	2013	D	Calif	Lowenthal, Alan	AMZN	Purchased	8000	2013-08-06	0.01179	0.01245	0.07153	0.10228	0.27485
3	2013	D	Calif	Lowenthal, Alan	EBAY	Purchased	8000	2013-08-06	0.01762	0.02755	-0.01338	-0.0121	-0.11051
4	2013	D	Calif	Lowenthal, Alan	EBAY	Sold	8000	2013-08-06	0.06175	0.04954	NA	0.08592	-0.035
5	2013	D	Calif	Lowenthal, Alan	EBAY	Sold	32500	2013-08-06	-0.01222	0.00846	-0.09175	-0.05123	NA
6	2013	D	Calif	Lowenthal, Alan	EBAY	Sold	8000	2013-08-06	-0.00132	0.02756	0.04607	0.05411	-0.03187
7	2013	D	Calif	Lowenthal, Alan	ESRX	Sold	32500	2013-08-06	0.00082	0.07512	0.12415	0.09456	NA
8	2013	D	Calif	Lowenthal, Alan	ESRX	Purchased	32500	2013-08-06	-0.03746	-0.04736	-0.00821	-0.00706	0.06751
9	2013	D	Calif	Lowenthal, Alan	ESRX	Sold	8000	2013-08-06	-0.00068	0.09027	0.12819	0.09185	NA
10	2013	D	Calif	Lowenthal, Alan	ESRX	Purchased	8000	2013-08-06	0.02442	0.039	0.04432	0.06992	-0.02372
11	2013	D	Calif	Lowenthal, Alan	ESRX	Purchased	8000	2013-08-06	-0.02066	-0.02938	-0.05739	-9e-04	-0.05274
12	2013	D	Calif	Lowenthal, Alan	GOOG	Sold	8000	2013-08-06	NA	NA	NA	NA	NA
13	2013	D	Calif	Lowenthal, Alan	INTU	Purchased	32500	2013-08-06	0.00202	-0.00094	0.04088	0.06687	0.08339
14	2013	D	Calif	Lowenthal, Alan	INTU	Sold	32500	2013-08-06	NA	NA	NA	NA	NA
15	2013	D	Calif	Lowenthal, Alan	INTU	Purchased	32500	2013-08-06	-0.00801	-0.01478	-0.07876	0.03093	-0.00398
17	2013	D	Calif	Lowenthal, Alan	VRSK	Purchased	32500	2013-08-06	0.02219	0.02587	-0.00215	-0.01843	NA
18	2013	D	Calif	Lowenthal, Alan	AGU	Purchased	8000	2013-08-06	0.04595	0.03888	-0.07199	-0.13058	-0.31626
19	2013	D	Calif	Lowenthal, Alan	AGU	Sold	8000	2013-08-06	-0.04049	-0.03443	-0.09268	-0.16036	-0.22992
20	2013	D	Calif	Lowenthal, Alan	AIG	Sold	32500	2013-08-06	-0.00859	-0.01558	-0.0388	-0.0613	0.0175
21	2013	D	Calif	Lowenthal, Alan	AIG	Purchased	8000	2013-08-06	-0.01563	-0.02988	-0.03048	-0.02663	0.12182
22	2013	D	Calif	Lowenthal, Alan	AMT	Sold	8000	2013-08-06	-0.02027	-0.05296	-0.03283	-0.01115	-0.21707
23	2013	D	Calif	Lowenthal, Alan	BA	Sold	32500	2013-08-06	0.01542	0.01376	0.00472	0.04669	NA
24	2013	D	Calif	Lowenthal, Alan	BA	Sold	8000	2013-08-06	0.00238	0.00213	-0.00718	0.03423	-0.04228
25	2013	D	Calif	Lowenthal, Alan	BA	Sold	8000	2013-08-06	-0.03964	-0.04589	-0.02035	0.02568	-0.05984
26	2013	D	Calif	Lowenthal, Alan	BAC	Purchased	32500	2013-08-06	NA	NA	NA	NA	NA
27	2013	D	Calif	Lowenthal, Alan	CCI	Purchased	32500	2013-08-06	-0.00131	-0.03956	0.01614	-0.0523	NA
28	2013	D	Calif	Lowenthal, Alan	CIT	Purchased	8000	2013-08-06	-0.07533	-0.09088	-0.05565	-0.05993	NA
29	2013	D	Calif	Lowenthal, Alan	COF	Sold	32500	2013-08-06	0.03404	0.03456	0.03934	0.06819	0.1699
30	2013	D	Calif	Lowenthal, Alan	CPN	Purchased	8000	2013-08-06	-0.05169	-0.05205	0.00989	0.0371	-0.14099
31	2013	D	Calif	Lowenthal, Alan	DLPH	Purchased	32500	2013-08-06	0.02781	0.01817	0.0856	0.16412	0.18229
32	2013	D	Calif	Lowenthal, Alan	GEL	Purchased	8000	2013-08-06	0.02753	0.04129	0.00724	0.00548	NA
33	2013	D	Calif	Lowenthal, Alan	IHS	Purchased	8000	2013-08-06	0.0058	0.00064	0.01668	0.04876	0.08536
34	2013	D	Calif	Lowenthal, Alan	JNJ	Purchased	32500	2013-08-06	0.05077	0.03943	0.02214	0.01942	0.0298
35	2013	D	Calif	Lowenthal, Alan	KMP	Sold	8000	2013-08-06	-0.07587	-0.08322	-0.09103	-0.05296	0.21339
36	2013	D	Calif	Lowenthal, Alan	KSU	Sold	8000	2013-08-06	-0.00317	-0.0267	-0.01885	-0.05772	-0.01937
37	2013	D	Calif	Lowenthal, Alan	KSU	Sold	32500	2013-08-06	NA	NA	NA	NA	NA
38	2013	D	Calif	Lowenthal, Alan	KSU	Sold	8000	2013-08-06	0.00069	0.03755	0.07061	0.08743	0.17462
39	2013	D	Calif	Lowenthal, Alan	KSU	Purchased	8000	2013-08-06	0.00677	0.04178	0.0324	0.06255	0.14689
40	2013	D	Calif	Lowenthal, Alan	MSI	Sold	8000	2013-08-06	0.02276	0.05556	NA	0.11693	0.13332
41	2013	D	Calif	Lowenthal, Alan	NMFC	Sold	8000	2013-08-06	NA	-0.01991	-0.00949	0.00756	NA
42	2013	D	Calif	Lowenthal, Alan	PLL	Sold	32500	2013-08-06	0.02044	0.03682	0.0063	-0.00829	0.11405
43	2013	D	Calif	Lowenthal, Alan	RGP	Sold	8000	2013-08-06	0.00092	0.02501	0.0364	0.11123	NA
44	2013	D	Calif	Lowenthal, Alan	SU	Sold	32500	2013-08-06	-0.03385	-0.0352	-0.05632	-0.1097	0.03305
45	2013	D	Calif	Lowenthal, Alan	SU	Sold	8000	2013-08-06	-0.02211	-0.04937	-0.08039	-0.15207	-0.03624
46	2013	D	Calif	Lowenthal, Alan	UPS	Sold	32500	2013-08-06	-0.00521	-0.01056	0.05425	0.07321	-0.00301
47	2013	D	Calif	Lowenthal, Alan	URI	Purchased	8000	2013-08-06	0.03388	0.0386	0.05306	0.12611	NA
48	2013	D	Calif	Lowenthal, Alan	URI	Purchased	32500	2013-08-06	0.0296	0.01711	0.07508	0.0989	NA
49	2013	D	Calif	Lowenthal, Alan	V	Sold	32500	2013-08-06	-0.01563	-0.02523	0.01971	0.04625	0.14334
