Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	-0.02205	NA	-0.19714	-0.20171	-0.33039
2	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	-0.02996	-0.0288	NA	NA	-0.3462
3	2014	R	Texas	McCaul, Michael	AAPL	Sold	75000	2014-07-03	0.08404	0.09961	0.07739	-0.01389	0.1526
4	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.00239	0.02055	0.02853	0.0904	-0.00293
5	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	NA	-0.01452	-0.02482	-0.02244	0.2501
6	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	NA	-0.0207	-0.17832	-0.2369	-0.34486
7	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.00848	0.00047	0.02124	-0.05532	0.09571
8	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	-0.01615	NA	-0.07891	-0.17758	-0.4605
9	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	-0.01862	-0.05422	-0.07954	-0.07586	0.08584
10	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.02425	0.02984	-0.00462	-0.00415	0.24998
11	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	0.06135	0.01462	-0.05816	-0.08836	-0.08493
12	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.04107	0.05051	0.18405	0.34051	0.39373
13	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.01311	0.01634	NA	NA	NA
14	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	-0.11725	-0.12322	-0.17404	-0.20739	-0.25118
15	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	0.00441	0.0257	0.05217	0.09373	NA
16	2014	R	Texas	McCaul, Michael	AAPL	Sold	75000	2014-07-03	0.08631	0.11861	0.06801	-0.03097	0.20469
17	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	0.04638	0.04427	0.12799	NA	0.28651
18	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	-0.08705	-0.09609	-0.12166	-0.3218	-0.40012
19	2014	R	Texas	McCaul, Michael	AAPL	Purchased	8000	2014-07-03	-0.03568	-0.03751	-0.10325	-0.19802	-0.32393
20	2014	R	Texas	McCaul, Michael	AAPL	Sold	32500	2014-07-03	-0.06971	-0.06411	-0.05004	-0.03405	0.06291
21	2014	R	Texas	McCaul, Michael	AAPL	Sold	8000	2014-07-03	NA	-0.04303	-0.01227	NA	-0.44162
22	2014	R	Texas	McCaul, Michael	AAPL	Sold	175000	2014-07-03	0.04551	0.03772	0.03323	-0.05111	0.1204
23	2014	R	Texas	McCaul, Michael	AAPL	Sold	32500	2014-07-03	-0.05497	-0.02574	-0.01262	-0.02855	0.08455
24	2014	R	Texas	McCaul, Michael	AAPL	Sold	$250,001 to $500,000	2014-07-03	0.04551	0.03772	0.03323	-0.05111	0.1204
25	2014	R	Texas	McCaul, Michael	ACHC	Purchased	8000	2014-07-03	-0.00852	-0.03801	-0.02038	-0.10509	0.0449
26	2014	R	Texas	McCaul, Michael	ACHC	Purchased	32500	2014-07-03	0.01713	-0.00914	NA	NA	NA
