Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	D	NY	Owens, Bill	INTC	Sold	8000	2014-05-12	-0.00693	-0.00748	NA	NA	NA
2	2014	D	NY	Owens, Bill	INTC	Sold	8000	2014-05-12	0.05763	0.04696	NA	-0.07482	-0.08962
3	2014	D	NY	Owens, Bill	INTC	Sold	8000	2014-05-12	0.00194	NA	0.10139	0.23732	NA
4	2014	D	NY	Owens, Bill	NBTB	Sold	8000	2014-05-12	0.01533	-0.00994	0.02429	0.00737	-0.11442
5	2014	D	NY	Owens, Bill	SGEN	Purchased	8000	2014-05-12	-0.05295	-0.04202	-0.0223	-0.08008	0.11911
6	2014	D	NY	Owens, Bill	SGEN	Sold	8000	2014-05-12	-0.06129	-0.04398	NA	0.17481	0.08255
7	2014	D	NY	Owens, Bill	SGEN	Sold	8000	2014-05-12	-0.08255	NA	0.04021	-0.1076	NA
8	2014	D	NY	Owens, Bill	AVA	Sold	8000	2014-05-12	-0.02313	-0.02877	NA	NA	NA
9	2014	D	NY	Owens, Bill	AVA	Sold	8000	2014-05-12	0.00691	0.0047	NA	0.02721	-0.08106
10	2014	D	NY	Owens, Bill	AVA	Sold	8000	2014-05-12	-0.0013	NA	-0.03017	-0.02566	NA
11	2014	D	NY	Owens, Bill	BAC	Purchased	32500	2014-05-12	0.03462	0.05104	0.05396	0.05541	-0.09646
12	2014	D	NY	Owens, Bill	BAC	Sold	8000	2014-05-12	0.02641	0.05165	NA	NA	NA
13	2014	D	NY	Owens, Bill	BAC	Purchased	8000	2014-05-12	0.03462	0.05104	0.05396	0.05541	-0.09646
14	2014	D	NY	Owens, Bill	BAC	Sold	8000	2014-05-12	-0.02078	NA	0.0053	-0.01189	NA
15	2014	D	NY	Owens, Bill	BAC	Purchased	75000	2014-05-12	-0.0309	-0.04842	0.04348	0.02742	0.03333
16	2014	D	NY	Owens, Bill	BAC	Purchased	32500	2014-05-12	0.01819	0.00867	-0.04046	-0.00195	-0.14729
17	2014	D	NY	Owens, Bill	BNS	Sold	8000	2014-05-12	0.00779	-0.00572	NA	-0.04706	0.00116
18	2014	D	NY	Owens, Bill	DUK	Sold	8000	2014-05-12	0.00199	NA	-0.01325	-0.01048	NA
19	2014	D	NY	Owens, Bill	DUK	Sold	8000	2014-05-12	-0.00282	-0.00356	NA	NA	NA
20	2014	D	NY	Owens, Bill	DUK	Sold	32500	2014-05-12	0.01815	0.01282	NA	0.01757	-0.04244
21	2014	D	NY	Owens, Bill	JLL	Sold	8000	2014-05-12	-0.01685	-0.01874	NA	-0.06016	-0.02286
22	2014	D	NY	Owens, Bill	JLL	Sold	8000	2014-05-12	0.02093	NA	0.02339	0.05996	NA
23	2014	D	NY	Owens, Bill	JNJ	Sold	8000	2014-05-12	-0.01279	-0.01242	NA	0.03482	-9e-04
24	2014	D	NY	Owens, Bill	JNJ	Sold	8000	2014-05-12	0.01191	NA	-0.00338	-0.02067	NA
25	2014	D	NY	Owens, Bill	JNJ	Sold	8000	2014-05-12	0.02198	0.04687	NA	NA	NA
26	2014	D	NY	Owens, Bill	KMB	Purchased	32500	2014-05-12	0.00249	-0.00889	0.04182	0.06523	0.00143
27	2014	D	NY	Owens, Bill	KMB	Sold	8000	2014-05-12	0.00318	0.01651	NA	NA	NA
28	2014	D	NY	Owens, Bill	KMB	Sold	8000	2014-05-12	0.00873	NA	-0.0092	-0.00469	NA
29	2014	D	NY	Owens, Bill	KMB	Sold	32500	2014-05-12	-0.04473	-0.03426	NA	-0.07771	-0.04991
30	2014	D	NY	Owens, Bill	MO	Sold	32500	2014-05-12	-0.0046	-0.00378	NA	-0.06339	-0.06969
31	2014	D	NY	Owens, Bill	MO	Sold	8000	2014-05-12	0.03674	0.06545	NA	NA	NA
32	2014	D	NY	Owens, Bill	MO	Sold	8000	2014-05-12	0.00616	NA	0.02777	0.016	NA
33	2014	D	NY	Owens, Bill	NVS	Purchased	32500	2014-05-12	-0.01936	-0.01904	-0.02368	0.03666	NA
34	2014	D	NY	Owens, Bill	NVS	Sold	8000	2014-05-12	0.01618	0.01843	NA	NA	NA
35	2014	D	NY	Owens, Bill	SCCO	Sold	8000	2014-05-12	0.01453	NA	-0.03266	0.04583	NA
36	2014	D	NY	Owens, Bill	SCCO	Sold	8000	2014-05-12	0.00479	-0.04636	NA	-0.20399	-0.30413
37	2014	D	NY	Owens, Bill	SCCO	Sold	8000	2014-05-12	0.01653	-0.07208	NA	NA	NA
38	2014	D	NY	Owens, Bill	SYY	Sold	8000	2014-05-12	-0.01069	-0.02062	NA	NA	NA
39	2014	D	NY	Owens, Bill	SYY	Sold	8000	2014-05-12	-0.01478	-0.00338	NA	-0.02677	-0.11456
40	2014	D	NY	Owens, Bill	SYY	Purchased	32500	2014-05-12	0.00115	-0.00179	0.01781	0.06218	0.01102
