Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2012	R	Ga	Price, Tom	AMGN	Sold	175000	2012-11-12	0.0113	0.00566	-0.00572	-0.12226	-0.00729
2	2012	R	Ga	Price, Tom	AMZN	Sold	8000	2012-11-12	-0.00263	0.02363	0.0406	0.1152	0.2965
3	2012	R	Ga	Price, Tom	AMZN	Purchased	8000	2012-11-12	NA	-0.01245	0.00374	-0.02201	-0.04096
4	2012	R	Ga	Price, Tom	BEAV	Purchased	8000	2012-11-12	0.01398	-0.00347	0.03587	0.06485	0.04062
5	2012	R	Ga	Price, Tom	CSCO	Sold	32500	2012-11-12	0.08243	0.11116	0.1664	0.16992	0.22365
6	2012	R	Ga	Price, Tom	ESRX	Sold	8000	2012-11-12	0.01103	-0.0073	0.02309	0.03597	-0.06841
7	2012	R	Ga	Price, Tom	ESRX	Purchased	8000	2012-11-12	NA	-0.02453	-0.08005	-0.06194	0.00297
8	2012	R	Ga	Price, Tom	FFIV	Sold	8000	2012-11-12	NA	0.04847	0.01467	0.02381	-0.37238
9	2012	R	Ga	Price, Tom	INCY	Purchased	8000	2012-11-12	-0.02408	0.07207	-0.04444	0.00324	0.72732
10	2012	R	Ga	Price, Tom	INTC	Sold	32500	2012-11-12	-0.06627	-0.06194	-0.02892	-0.06298	-0.03632
11	2012	R	Ga	Price, Tom	JAZZ	Purchased	8000	2012-11-12	0.04546	0.07178	0.12572	0.066	0.90712
12	2012	R	Ga	Price, Tom	MDLZ	Sold	32500	2012-11-12	-0.02123	-0.03658	-0.04563	0.00124	-0.01593
13	2012	R	Ga	Price, Tom	MNST	Sold	8000	2012-11-12	NA	0.00085	-0.14147	-0.10678	-0.02999
14	2012	R	Ga	Price, Tom	NDSN	Purchased	8000	2012-11-12	0.02492	0.01842	-0.01449	-0.00883	-0.06157
15	2012	R	Ga	Price, Tom	PENN	Sold	8000	2012-11-12	-0.0256	-0.04264	-0.07431	-0.13168	-0.0784
16	2012	R	Ga	Price, Tom	PENN	Purchased	8000	2012-11-12	NA	0.01118	-0.04966	-0.03564	-0.05498
17	2012	R	Ga	Price, Tom	PNRA	Sold	8000	2012-11-12	0.06343	0.09464	0.13402	0.10463	-0.00189
18	2012	R	Ga	Price, Tom	PNRA	Purchased	8000	2012-11-12	0.01384	0.01021	0.05352	0.04634	-0.19055
19	2012	R	Ga	Price, Tom	SBUX	Sold	8000	2012-11-12	0.00753	0.01406	0.02478	0.09658	0.21233
20	2012	R	Ga	Price, Tom	SBUX	Purchased	8000	2012-11-12	-0.04827	-0.06116	0.02016	0.03143	0.05899
21	2012	R	Ga	Price, Tom	SBUX	Purchased	8000	2012-11-12	NA	-0.01812	-0.05464	-0.07149	0.07415
22	2012	R	Ga	Price, Tom	STX	Sold	8000	2012-11-12	NA	0.08391	0.25349	0.0677	0.37704
23	2012	R	Ga	Price, Tom	SWKS	Sold	8000	2012-11-12	NA	-0.02294	-0.00012	-0.01479	-0.08758
24	2012	R	Ga	Price, Tom	WFM	Sold	8000	2012-11-12	0.13508	0.12861	0.13744	0.19197	0.32576
25	2012	R	Ga	Price, Tom	WFM	Purchased	8000	2012-11-12	NA	0.01408	-0.01291	-0.10998	0.02989
26	2012	R	Ga	Price, Tom	WYNN	Sold	8000	2012-11-12	NA	-0.01128	0.03058	-0.02709	0.00166
