Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	R	Ky	Rogers, Hal	AAPL	Purchased	8000	2013-09-17	0.00691	-0.03281	-0.03396	NA	0.23987
2	2013	R	Ky	Rogers, Hal	ADBE	Purchased	8000	2013-09-17	-0.0033	-0.01845	-0.02378	0.02398	0.1061
3	2013	R	Ky	Rogers, Hal	ARMH	Sold	8000	2013-09-17	0.09857	0.06287	0.07629	0.04325	-0.13387
4	2013	R	Ky	Rogers, Hal	ARMH	Sold	8000	2013-09-17	NA	0.00048	0.05243	0.09746	-0.16591
5	2013	R	Ky	Rogers, Hal	ATVI	Sold	8000	2013-09-17	-0.01537	-0.01386	-0.05576	-0.01955	0.13128
6	2013	R	Ky	Rogers, Hal	BBBY	Sold	8000	2013-09-17	0.01085	0.0029	0.05272	0.08101	0.03003
7	2013	R	Ky	Rogers, Hal	BBBY	Purchased	8000	2013-09-17	0.01512	0.01223	-0.07493	NA	-0.21182
8	2013	R	Ky	Rogers, Hal	BIIB	Purchased	8000	2013-09-17	-0.01685	-0.0213	-0.02254	NA	NA
9	2013	R	Ky	Rogers, Hal	BRCM	Sold	8000	2013-09-17	-0.00037	-0.01296	-0.02984	-0.06959	0.01991
10	2013	R	Ky	Rogers, Hal	CELG	Purchased	8000	2013-09-17	0.02995	0.00298	0.12543	0.16919	0.35886
11	2013	R	Ky	Rogers, Hal	CHKP	Sold	8000	2013-09-17	NA	NA	NA	NA	NA
13	2013	R	Ky	Rogers, Hal	CSCO	Purchased	8000	2013-09-17	-0.04939	-0.05215	0.04081	0.0848	0.0381
14	2013	R	Ky	Rogers, Hal	CSCO	Sold	8000	2013-09-17	0.00852	0.10811	0.08376	0.06042	0.16183
15	2013	R	Ky	Rogers, Hal	CSCO	Purchased	8000	2013-09-17	0.00548	-0.01816	0.14937	0.17512	-0.00722
16	2013	R	Ky	Rogers, Hal	CTSH	Purchased	8000	2013-09-17	0.00633	0.02842	0.0335	0.00929	-0.02941
17	2013	R	Ky	Rogers, Hal	CTXS	Purchased	8000	2013-09-17	-0.05678	-0.03607	0.00357	0.06054	-0.13231
18	2013	R	Ky	Rogers, Hal	CTXS	Sold	8000	2013-09-17	-0.00665	-0.07724	-0.02156	-0.00661	-0.00821
19	2013	R	Ky	Rogers, Hal	EBAY	Purchased	8000	2013-09-17	0.03683	0.036	0.04622	NA	0.10335
20	2013	R	Ky	Rogers, Hal	FAST	Sold	8000	2013-09-17	0.02838	0.10742	0.12217	0.09817	-0.07476
21	2013	R	Ky	Rogers, Hal	FAST	Purchased	8000	2013-09-17	-0.00119	0.03588	-0.01603	-0.03065	-0.17116
22	2013	R	Ky	Rogers, Hal	GILD	Purchased	8000	2013-09-17	-0.00011	0.00875	0.13207	0.16626	NA
23	2013	R	Ky	Rogers, Hal	GILD	Purchased	8000	2013-09-17	0.06028	0.07961	0.14088	NA	NA
24	2013	R	Ky	Rogers, Hal	HCBK	Sold	8000	2013-09-17	0.06656	NA	0.04775	0.08479	-0.05874
25	2013	R	Ky	Rogers, Hal	INTC	Purchased	8000	2013-09-17	-0.01099	0.0101	0.03209	-0.00223	NA
26	2013	R	Ky	Rogers, Hal	ISRG	Sold	8000	2013-09-17	0.02422	0.01048	-0.00465	-0.26004	-0.35467
