Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	D	Ill	Schneider, Brad	AAL	Purchased	175000	2013-08-05	0.05452	0.0729	0.19896	0.23032	0.40852
2	2013	D	Ill	Schneider, Brad	AAPL	Sold	75000	2013-08-05	0.04322	-0.08042	-0.09671	-0.09641	-0.2677
3	2013	D	Ill	Schneider, Brad	ACGL	Purchased	8000	2013-08-05	0.00567	0.01832	0.02586	0.01744	-0.0015
4	2013	D	Ill	Schneider, Brad	AKAM	Purchased	32500	2013-08-05	-0.01883	-0.02781	-0.11893	-0.12852	NA
5	2013	D	Ill	Schneider, Brad	AKAM	Sold	75000	2013-08-05	-0.05658	-0.04164	-0.07457	-0.02436	-0.00522
6	2013	D	Ill	Schneider, Brad	ALOG	Purchased	8000	2013-08-05	0.05126	0.08078	0.11222	-0.10203	-0.22417
7	2013	D	Ill	Schneider, Brad	AMKR	Sold	8000	2013-08-05	-0.04954	-0.07809	-0.04661	0.08865	0.67659
8	2013	D	Ill	Schneider, Brad	AUXL	Purchased	8000	2013-08-05	0.08696	0.04785	0.23007	0.2878	-0.21948
9	2013	D	Ill	Schneider, Brad	AZPN	Purchased	8000	2013-08-05	0.01429	-0.00229	0.09197	0.06216	0.00777
10	2013	D	Ill	Schneider, Brad	BEAV	Sold	8000	2013-08-05	-0.01724	NA	NA	NA	NA
11	2013	D	Ill	Schneider, Brad	BECN	Purchased	8000	2013-08-05	-0.00143	-0.01285	-0.07007	-0.06157	-0.36464
12	2013	D	Ill	Schneider, Brad	BOBE	Purchased	8000	2013-08-05	-0.02382	0.00472	0.02569	0.04651	-0.09521
13	2013	D	Ill	Schneider, Brad	BOBE	Sold	8000	2013-08-05	0.02015	-0.0257	-0.00119	-0.05903	-0.14214
14	2013	D	Ill	Schneider, Brad	BWLD	Purchased	8000	2013-08-05	-0.05172	-0.03822	-0.07661	0.07082	-0.00992
15	2013	D	Ill	Schneider, Brad	CAR	Sold	8000	2013-08-05	0.01869	0.00051	0.0808	0.20886	0.34888
16	2013	D	Ill	Schneider, Brad	DISH	Sold	8000	2013-08-05	-0.01048	-0.00366	0.10669	0.08062	0.27192
17	2013	D	Ill	Schneider, Brad	ECOL	Purchased	8000	2013-08-05	0.01583	0.04291	-0.02941	0.00213	0.25906
18	2013	D	Ill	Schneider, Brad	FNGN	Purchased	8000	2013-08-05	0.048	-0.04721	-0.04859	-0.1607	-0.47446
19	2013	D	Ill	Schneider, Brad	GEOS	Purchased	8000	2013-08-05	0.0043	-0.03368	-0.14028	-0.2902	-0.56581
20	2013	D	Ill	Schneider, Brad	GEOS	Sold	8000	2013-08-05	-0.0702	-0.08349	-0.05403	-0.21517	-0.49021
21	2013	D	Ill	Schneider, Brad	GILD	Sold	32500	2013-08-05	-0.02613	-0.00087	-0.02424	0.09193	0.01763
22	2013	D	Ill	Schneider, Brad	GTLS	Purchased	8000	2013-08-05	-0.02704	-0.05753	-0.01908	-0.09934	-0.18174
