Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	D	Ore	Schrader, Kurt	AAPL	Sold	8000	2014-01-09	-0.00433	-0.00155	NA	NA	NA
2	2014	D	Ore	Schrader, Kurt	AAPL	Purchased	8000	2014-01-09	0.00406	-0.06598	-0.03587	-0.00881	-0.06121
3	2014	D	Ore	Schrader, Kurt	AAPL	Purchased	8000	2014-01-09	0.03659	0.04403	0.09665	0.07251	0.08036
4	2014	D	Ore	Schrader, Kurt	AVGO	Purchased	8000	2014-01-09	0.02415	0.01715	0.1445	0.09704	0.22925
5	2014	D	Ore	Schrader, Kurt	AVGO	Sold	8000	2014-01-09	0.02295	0.0283	0.00993	-0.02002	NA
6	2014	D	Ore	Schrader, Kurt	AVGO	Purchased	8000	2014-01-09	-0.02593	-0.08965	-0.05133	-0.05428	-0.09545
7	2014	D	Ore	Schrader, Kurt	AVGO	Sold	8000	2014-01-09	0.00138	NA	0.19328	NA	0.54511
8	2014	D	Ore	Schrader, Kurt	AVGO	Purchased	8000	2014-01-09	0.00939	-0.02548	0.02646	0.05249	-0.03612
9	2014	D	Ore	Schrader, Kurt	CELG	Purchased	8000	2014-01-09	0.01677	0.02725	0.1208	0.11553	NA
10	2014	D	Ore	Schrader, Kurt	CELG	Sold	8000	2014-01-09	-0.00859	0.00065	0.0392	0.07188	NA
11	2014	D	Ore	Schrader, Kurt	CELG	Purchased	8000	2014-01-09	0.00549	0.01158	0.02954	0.12924	NA
12	2014	D	Ore	Schrader, Kurt	CSCO	Purchased	32500	2014-01-09	-0.02922	-0.02068	-0.09966	-0.10624	-0.03204
13	2014	D	Ore	Schrader, Kurt	CTXS	Purchased	8000	2014-01-09	-0.00242	-0.01893	-0.00496	0.01672	-0.07599
14	2014	D	Ore	Schrader, Kurt	CTXS	Sold	8000	2014-01-09	0.00443	0.01422	NA	NA	NA
15	2014	D	Ore	Schrader, Kurt	CTXS	Purchased	8000	2014-01-09	-0.00907	0.00349	NA	-0.08029	-0.02142
16	2014	D	Ore	Schrader, Kurt	EBAY	Sold	32500	2014-01-09	-0.03344	NA	NA	NA	NA
17	2014	D	Ore	Schrader, Kurt	EBAY	Purchased	8000	2014-01-09	-0.02495	-0.03824	-0.01982	0.04996	NA
18	2014	D	Ore	Schrader, Kurt	EBAY	Purchased	32500	2014-01-09	0.06175	0.04954	NA	0.08592	-0.035
19	2014	D	Ore	Schrader, Kurt	EBAY	Purchased	8000	2014-01-09	-0.00895	-0.01561	0.01653	0.08404	NA
20	2014	D	Ore	Schrader, Kurt	EBAY	Sold	8000	2014-01-09	0.01896	0.04448	NA	-0.00219	NA
21	2014	D	Ore	Schrader, Kurt	ESRX	Purchased	8000	2014-01-09	-0.01323	-0.00907	-0.04828	-0.07521	NA
22	2014	D	Ore	Schrader, Kurt	ESRX	Sold	8000	2014-01-09	0.02388	0.03113	0.03449	0.0052	NA
23	2014	D	Ore	Schrader, Kurt	ESRX	Purchased	8000	2014-01-09	-0.00922	-0.00694	-0.05916	-0.00687	NA
24	2014	D	Ore	Schrader, Kurt	GILD	Sold	8000	2014-01-09	0.00859	0.03816	0.12389	0.13588	NA
25	2014	D	Ore	Schrader, Kurt	GILD	Purchased	8000	2014-01-09	0.06237	-0.01212	0.15509	0.17706	0.50665
26	2014	D	Ore	Schrader, Kurt	INTC	Sold	8000	2014-01-09	-0.00087	0.01428	NA	NA	NA
27	2014	D	Ore	Schrader, Kurt	INTC	Purchased	32500	2014-01-09	0.00428	-0.00156	-0.0182	-0.02462	-0.01404
28	2014	D	Ore	Schrader, Kurt	MSFT	Sold	8000	2014-01-09	0.00345	0.02726	0.03214	0.08455	0.13016
29	2014	D	Ore	Schrader, Kurt	MSFT	Sold	8000	2014-01-09	0.03123	0.05591	0.0896	0.00611	0.06173
30	2014	D	Ore	Schrader, Kurt	MYL	Purchased	8000	2014-01-09	0.04289	0.03679	-0.01162	0.0642	0.05226
31	2014	D	Ore	Schrader, Kurt	MYL	Sold	8000	2014-01-09	-0.07091	-0.08859	-0.05933	NA	-0.18186
32	2014	D	Ore	Schrader, Kurt	MYL	Purchased	8000	2014-01-09	0.01604	-0.01571	NA	NA	NA
33	2014	D	Ore	Schrader, Kurt	MYL	Purchased	8000	2014-01-09	0.05647	0.0538	NA	0.0512	NA
34	2014	D	Ore	Schrader, Kurt	MYL	Purchased	8000	2014-01-09	0.03923	0.02458	-0.01477	0.04506	NA
35	2014	D	Ore	Schrader, Kurt	STX	Sold	8000	2014-01-09	-0.08726	-0.05755	-0.15413	-0.06901	-0.01815
36	2014	D	Ore	Schrader, Kurt	STX	Purchased	8000	2014-01-09	-0.05374	-0.08311	-0.13814	NA	-0.12816
37	2014	D	Ore	Schrader, Kurt	VIAB	Sold	8000	2014-01-09	-0.03617	-0.02763	NA	0.0129	-0.07302
38	2014	D	Ore	Schrader, Kurt	VIAB	Purchased	8000	2014-01-09	0.02054	-0.00544	0.01002	-0.00356	0.18044
39	2014	D	Ore	Schrader, Kurt	VIAB	Purchased	8000	2014-01-09	-0.00222	0.00869	-0.02948	-0.02143	NA
40	2014	D	Ore	Schrader, Kurt	VIAB	Purchased	8000	2014-01-09	-0.01095	-0.00706	0.02752	NA	0.2608
41	2014	D	Ore	Schrader, Kurt	VIAB	Sold	8000	2014-01-09	0.0291	0.00785	-0.00938	-0.08641	-0.05335
42	2014	D	Ore	Schrader, Kurt	VOD	Sold	8000	2014-01-09	0.01122	0.03263	0.08237	0.02136	0.17589
43	2014	D	Ore	Schrader, Kurt	VOD	Purchased	8000	2014-01-09	-0.01286	-0.04724	-0.05805	NA	-0.22208
44	2014	D	Ore	Schrader, Kurt	VOD	Purchased	32500	2014-01-09	-0.00341	-0.01656	-0.03554	-0.00115	NA
45	2014	D	Ore	Schrader, Kurt	VOD	Purchased	8000	2014-01-09	0.0128	0.01146	0.03747	0.02172	NA
46	2014	D	Ore	Schrader, Kurt	VOD	Purchased	8000	2014-01-09	-0.03255	-0.02883	-0.04275	-0.01968	NA
47	2014	D	Ore	Schrader, Kurt	VOD	Sold	32500	2014-01-09	0.00517	0.00303	0.05326	0.0553	0.10364
48	2014	D	Ore	Schrader, Kurt	VOD	Sold	8000	2014-01-09	0.00475	-0.01406	0.04259	0.0481	0.01111
49	2014	D	Ore	Schrader, Kurt	VOD	Sold	8000	2014-01-09	-0.0112	0.03686	0.06491	0.05956	0.00025
50	2014	D	Ore	Schrader, Kurt	WFM	Purchased	8000	2014-01-09	-0.01617	-0.01604	8e-05	-0.01851	NA
51	2014	D	Ore	Schrader, Kurt	WFM	Purchased	8000	2014-01-09	0.04636	0.03882	NA	0.01792	NA
52	2014	D	Ore	Schrader, Kurt	WFM	Sold	8000	2014-01-09	-0.01016	-0.00572	-0.02452	-0.00248	NA
53	2014	D	Ore	Schrader, Kurt	WFM	Purchased	8000	2014-01-09	-0.08315	-0.09647	-0.14047	-0.09914	NA
54	2014	D	Ore	Schrader, Kurt	ABX	Sold	8000	2014-01-09	-0.00119	-0.09371	-0.08656	-0.42334	-0.43007
55	2014	D	Ore	Schrader, Kurt	ABX	Purchased	8000	2014-01-09	0.01395	0.00668	0.0761	NA	-0.24416
56	2014	D	Ore	Schrader, Kurt	ABX	Sold	8000	2014-01-09	0.07467	0.09219	0.12999	-0.23309	-0.00506
57	2014	D	Ore	Schrader, Kurt	ACN	Sold	8000	2014-01-09	0.01564	0.0129	NA	-0.01137	-0.09557
58	2014	D	Ore	Schrader, Kurt	ACN	Purchased	8000	2014-01-09	0.00871	0.02579	0.11869	NA	0.14717
59	2014	D	Ore	Schrader, Kurt	ACN	Sold	8000	2014-01-09	0.02388	0.0373	0.08885	0.0728	-0.05623
