Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2014	R	Ga	Scott, Austin	ARTX	Purchased	32500	2014-06-17	-0.09163	-0.09708	0.23861	0.79809	0.13099
2	2014	R	Ga	Scott, Austin	ARTX	Purchased	8000	2014-06-17	0.23418	0.13047	-0.15223	-0.12011	NA
3	2014	R	Ga	Scott, Austin	ARTX	Sold	8000	2014-06-17	-0.04631	NA	-0.23416	-0.22921	NA
4	2014	R	Ga	Scott, Austin	ARUN	Sold	8000	2014-06-17	0.13704	0.10514	0.18525	0.30958	0.22302
5	2014	R	Ga	Scott, Austin	ARUN	Sold	8000	2014-06-17	0.0327	0.07683	0.17131	0.15346	0.04675
6	2014	R	Ga	Scott, Austin	ARUN	Purchased	32500	2014-06-17	0.00277	0.02603	0.0939	0.0367	0.11343
7	2014	R	Ga	Scott, Austin	ARUN	Purchased	32500	2014-06-17	0.06582	0.09733	0.19793	0.37323	NA
8	2014	R	Ga	Scott, Austin	ARUN	Purchased	32500	2014-06-17	0.01073	0.05575	-0.10441	-0.12527	NA
9	2014	R	Ga	Scott, Austin	ARUN	Purchased	32500	2014-06-17	0.02073	0.12076	0.12767	0.31122	0.23135
10	2014	R	Ga	Scott, Austin	ARUN	Sold	8000	2014-06-17	0.01018	0.0446	NA	-0.07801	0.07158
11	2014	R	Ga	Scott, Austin	ARUN	Sold	32500	2014-06-17	-0.00568	-0.01243	0.04074	0.13549	NA
12	2014	R	Ga	Scott, Austin	ARUN	Sold	32500	2014-06-17	-0.00309	-0.00771	NA	NA	NA
13	2014	R	Ga	Scott, Austin	ARUN	Sold	8000	2014-06-17	0.04882	0.05066	0.19995	NA	NA
14	2014	R	Ga	Scott, Austin	ARUN	Sold	32500	2014-06-17	0.04882	0.05066	0.19995	NA	NA
15	2014	R	Ga	Scott, Austin	ARUN	Purchased	8000	2014-06-17	0.03095	0.02361	0.14739	0.27503	NA
16	2014	R	Ga	Scott, Austin	ARUN	Sold	32500	2014-06-17	-0.08917	-0.0477	0.0288	0.11317	-0.10133
17	2014	R	Ga	Scott, Austin	ARUN	Purchased	8000	2014-06-17	0.11639	0.08918	0.17182	0.31831	0.25314
18	2014	R	Ga	Scott, Austin	ARUN	Purchased	8000	2014-06-17	0.03553	0.04817	-0.00652	0.22989	NA
19	2014	R	Ga	Scott, Austin	ARUN	Purchased	8000	2014-06-17	0.00438	-0.02543	0.05955	0.01281	0.03604
20	2014	R	Ga	Scott, Austin	ARUN	Sold	8000	2014-06-17	NA	0.0571	0.09956	NA	NA
21	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	-0.05128	-0.1078	-0.24163	-0.3177	-0.1112
22	2014	R	Ga	Scott, Austin	BLDP	Purchased	32500	2014-06-17	0.18689	0.05694	0.59947	0.55348	1.3582
23	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	0.1662	0.15117	-0.00284	-0.17879	0.18732
24	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	0.00074	-0.03289	-0.15517	-0.30882	-0.02216
25	2014	R	Ga	Scott, Austin	BLDP	Purchased	8000	2014-06-17	0.1648	0.20062	1.84005	1.29662	1.0963
26	2014	R	Ga	Scott, Austin	BLDP	Sold	32500	2014-06-17	0.11789	-0.00843	NA	1.47846	0.86885
27	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	-0.05051	-0.04755	NA	-0.16111	-0.12723
28	2014	R	Ga	Scott, Austin	BLDP	Purchased	32500	2014-06-17	-0.0478	NA	NA	NA	NA
29	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	-0.05936	0.12831	0.21928	0.81317	1.48371
30	2014	R	Ga	Scott, Austin	BLDP	Sold	32500	2014-06-17	0.25332	0.2467	0.21998	1.71767	1.01633
31	2014	R	Ga	Scott, Austin	BLDP	Purchased	8000	2014-06-17	0.05541	-0.04279	0.05434	1.26933	0.5671
32	2014	R	Ga	Scott, Austin	BLDP	Purchased	8000	2014-06-17	0.08063	0.05629	0.06696	0.07931	-0.36611
33	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	0.75552	0.44693	0.60169	0.78771	0.05272
34	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	0.51769	0.36471	0.58665	0.77764	0.04195
35	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	0.14517	0.05559	0.08467	0.07567	-0.23565
36	2014	R	Ga	Scott, Austin	BLDP	Purchased	8000	2014-06-17	-0.03942	-0.07789	-0.25575	-0.14888	-0.15914
37	2014	R	Ga	Scott, Austin	BLDP	Purchased	32500	2014-06-17	-0.03255	NA	0.26626	0.81452	1.68288
38	2014	R	Ga	Scott, Austin	BLDP	Sold	8000	2014-06-17	NA	-0.18976	NA	0.91324	0.51318
