Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.03016	-0.0418	-0.08252	-0.12365	-0.35231
2	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.00309	-0.0235	0.0197	-0.06539	0.09106
3	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.03741	-0.04267	-0.01374	0.14392	0.2084
4	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.02986	-0.02286	-0.12342	-0.18885	-0.43079
5	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.03215	-0.01754	-0.05051	NA	0.08082
6	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	0.04674	0.07671	0.02103	0.03188	0.29036
7	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.02844	-0.01654	-0.06329	-0.1712	-0.42217
8	2013	R	Texas	Smith, Lamar	AAPL	Sold	8000	2013-05-29	-0.0345	-0.07448	-0.10891	-0.12445	-0.4572
9	2013	R	Texas	Smith, Lamar	AGNC	Sold	8000	2013-05-29	0.00756	-0.05113	-0.17106	-0.15095	-0.28129
10	2013	R	Texas	Smith, Lamar	AGNC	Sold	8000	2013-05-29	-0.00554	-0.01978	-0.00453	0.00403	-0.3727
11	2013	R	Texas	Smith, Lamar	AGNC	Sold	8000	2013-05-29	0.0101	-0.00806	-0.0261	-0.0724	-0.06705
12	2013	R	Texas	Smith, Lamar	AKAM	Purchased	8000	2013-05-29	-0.04059	-0.03293	-0.11018	0.07662	0.11823
13	2013	R	Texas	Smith, Lamar	AKAM	Purchased	8000	2013-05-29	0.01786	0.04298	NA	0.23904	0.19025
14	2013	R	Texas	Smith, Lamar	AMGN	Sold	8000	2013-05-29	0.03049	0.08657	0.12245	0.31545	0.16617
15	2013	R	Texas	Smith, Lamar	AMZN	Sold	8000	2013-05-29	-0.00112	0.00832	0.06077	0.10759	-0.0518
16	2013	R	Texas	Smith, Lamar	AMZN	Sold	8000	2013-05-29	-0.00633	0.00206	0.06761	0.05538	-0.07228
17	2013	R	Texas	Smith, Lamar	AMZN	Sold	8000	2013-05-29	-0.01763	-0.0527	-0.03118	0.03409	1e-05
18	2013	R	Texas	Smith, Lamar	AMZN	Sold	8000	2013-05-29	-0.01071	-0.02258	0.09298	0.16194	-0.03683
19	2013	R	Texas	Smith, Lamar	AMZN	Purchased	8000	2013-05-29	-0.0239	-0.00974	-0.08901	-0.0449	-0.05924
20	2013	R	Texas	Smith, Lamar	BEAV	Sold	8000	2013-05-29	0.02732	0.06813	0.04807	0.10928	0.28183
21	2013	R	Texas	Smith, Lamar	BEAV	Sold	8000	2013-05-29	0.01228	0.01413	NA	-0.03729	NA
22	2013	R	Texas	Smith, Lamar	BEAV	Sold	8000	2013-05-29	0.01269	-0.0101	0.05719	0.08286	0.24806
23	2013	R	Texas	Smith, Lamar	CERN	Sold	8000	2013-05-29	-0.04084	-0.09877	-0.1539	-0.18346	-0.10771
24	2013	R	Texas	Smith, Lamar	CMCSA	Sold	8000	2013-05-29	0.00161	-0.00979	0.03238	0.07966	0.11361
25	2013	R	Texas	Smith, Lamar	CMCSA	Sold	8000	2013-05-29	-0.00476	-0.00759	0.01403	-0.01539	-0.023
26	2013	R	Texas	Smith, Lamar	COST	Purchased	8000	2013-05-29	0.00558	-0.0136	-0.01431	-0.02247	-0.00968
27	2013	R	Texas	Smith, Lamar	COST	Sold	8000	2013-05-29	0.00058	0.00787	0.01261	0.00639	-0.00812
28	2013	R	Texas	Smith, Lamar	COST	Purchased	8000	2013-05-29	0.0105	-0.01332	-0.00048	0.00608	-0.00359
29	2013	R	Texas	Smith, Lamar	COST	Sold	8000	2013-05-29	0.00126	0.0047	-0.01083	-0.0405	NA
30	2013	R	Texas	Smith, Lamar	COST	Purchased	8000	2013-05-29	0.00199	-0.00481	0.01077	0.01389	0.01516
31	2013	R	Texas	Smith, Lamar	CSGP	Purchased	8000	2013-05-29	-0.00721	-0.03785	-0.0447	-0.07522	NA
32	2013	R	Texas	Smith, Lamar	CTSH	Sold	8000	2013-05-29	-0.01677	0.00369	-0.00272	0.0495	-0.03942
33	2013	R	Texas	Smith, Lamar	CTSH	Sold	8000	2013-05-29	-0.00411	-0.00846	NA	0.00919	-0.06887
34	2013	R	Texas	Smith, Lamar	CTSH	Purchased	8000	2013-05-29	-0.025	-0.03261	-0.05079	-0.04205	0.23748
35	2013	R	Texas	Smith, Lamar	CTSH	Purchased	8000	2013-05-29	-0.00825	0.011	-0.00528	-0.06489	-0.16204
36	2013	R	Texas	Smith, Lamar	CTSH	Sold	8000	2013-05-29	0.02115	0.03291	0.06758	0.08753	-0.13456
37	2013	R	Texas	Smith, Lamar	CTSH	Purchased	8000	2013-05-29	-0.00498	-0.01947	0.02658	0.05577	0.09762
38	2013	R	Texas	Smith, Lamar	CTSH	Purchased	8000	2013-05-29	0.00109	0.00641	0.01746	0.01731	0.05983
39	2013	R	Texas	Smith, Lamar	CTXS	Purchased	8000	2013-05-29	-0.08327	-0.09372	-0.04021	-0.0815	-0.20498
40	2013	R	Texas	Smith, Lamar	CTXS	Purchased	8000	2013-05-29	-0.04391	-0.01219	NA	-0.04009	-0.19509
41	2013	R	Texas	Smith, Lamar	CTXS	Sold	8000	2013-05-29	0.01446	NA	-0.00075	-0.0222	0.0166
42	2013	R	Texas	Smith, Lamar	CTXS	Purchased	8000	2013-05-29	0.06749	0.06803	0.10442	-0.05281	-0.06728
43	2013	R	Texas	Smith, Lamar	CTXS	Purchased	8000	2013-05-29	0.00116	-0.0189	-0.01643	0.02103	-0.04723
44	2013	R	Texas	Smith, Lamar	CTXS	Purchased	8000	2013-05-29	-0.00773	0.031	-0.01497	0.04239	-0.03907
45	2013	R	Texas	Smith, Lamar	CTXS	Sold	8000	2013-05-29	-0.03167	-0.05422	-0.13916	-0.16394	-0.1102
46	2013	R	Texas	Smith, Lamar	CTXS	Sold	8000	2013-05-29	-0.03096	-0.01746	-0.00862	0.05212	-0.13611
