Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	D	Vt	Welch, Peter	AAL	Sold	32500	2013-04-16	0.05027	0.01057	0.00812	0.0667	0.19537
2	2013	D	Vt	Welch, Peter	AAL	Purchased	175000	2013-04-16	-0.04593	-0.02373	-0.07349	-0.13567	NA
3	2013	D	Vt	Welch, Peter	AAL	Sold	175000	2013-04-16	-0.01474	NA	0.04963	0.04905	NA
4	2013	D	Vt	Welch, Peter	ALLT	Sold	8000	2013-04-16	-0.262	-0.27249	-0.28191	-0.35672	-0.42912
5	2013	D	Vt	Welch, Peter	COST	Purchased	8000	2013-04-16	0.02535	0.02675	0.02567	0.02705	0.05411
6	2013	D	Vt	Welch, Peter	CSCO	Sold	8000	2013-04-16	0.00921	0.03258	0.01311	0.01764	0.11475
7	2013	D	Vt	Welch, Peter	CSCO	Sold	8000	2013-04-16	-0.00413	-0.01537	-0.02643	-0.039	0.09273
8	2013	D	Vt	Welch, Peter	FMI	Purchased	8000	2013-04-16	0.04386	-0.05755	-0.01391	0.28515	NA
9	2013	D	Vt	Welch, Peter	INTC	Sold	8000	2013-04-16	-0.05993	-0.07695	-0.17395	-0.20648	-0.28662
10	2013	D	Vt	Welch, Peter	INTC	Purchased	8000	2013-04-16	-0.03511	-0.0424	-0.04011	-0.09081	-0.14763
11	2013	D	Vt	Welch, Peter	INTC	Sold	8000	2013-04-16	-0.00188	0.03211	-0.03687	-0.03617	-0.01079
12	2013	D	Vt	Welch, Peter	INTC	Sold	8000	2013-04-16	-0.01272	0.00964	0.00468	0.00765	NA
13	2013	D	Vt	Welch, Peter	MSFT	Sold	8000	2013-04-16	0.03293	0.04056	0.02314	-0.1032	0.00898
14	2013	D	Vt	Welch, Peter	MSFT	Sold	8000	2013-04-16	-0.01612	-0.0407	-0.03244	-0.02394	0.15101
15	2013	D	Vt	Welch, Peter	ORBK	Purchased	8000	2013-04-16	-0.00879	-0.02817	0.02249	0.06425	NA
16	2013	D	Vt	Welch, Peter	PKT	Sold	8000	2013-04-16	-0.04834	-0.10248	-0.1467	-0.39434	-0.38719
17	2013	D	Vt	Welch, Peter	SAPE	Purchased	8000	2013-04-16	-0.0583	NA	-0.12229	-0.04354	-0.23332
19	2013	D	Vt	Welch, Peter	TXN	Sold	8000	2013-04-16	0.00184	0.00619	0.01008	0.04907	0.03044
20	2013	D	Vt	Welch, Peter	VOD	Sold	8000	2013-04-16	0.01577	0.00839	0.0023	0.00681	0.02475
21	2013	D	Vt	Welch, Peter	AXP	Sold	8000	2013-04-16	0.00576	0.02397	-0.01967	0.02432	0.18482
22	2013	D	Vt	Welch, Peter	EMC	Purchased	8000	2013-04-16	0.02089	0.00575	-0.03534	-0.08024	-0.04669
23	2013	D	Vt	Welch, Peter	EMC	Sold	8000	2013-04-16	-0.00342	-0.00488	-0.04999	-0.03638	NA
24	2013	D	Vt	Welch, Peter	GE	Sold	8000	2013-04-16	-0.01481	-0.02577	0.0167	0.04914	-0.00605
25	2013	D	Vt	Welch, Peter	HMC	Purchased	8000	2013-04-16	0.02071	-0.01781	-0.02357	-0.01472	NA
26	2013	D	Vt	Welch, Peter	KAI	Purchased	8000	2013-04-16	-0.00719	-0.00199	NA	NA	NA
27	2013	D	Vt	Welch, Peter	LNN	Purchased	8000	2013-04-16	-0.06012	-0.05993	0.01217	0.01903	0.09498
28	2013	D	Vt	Welch, Peter	MHFI	Sold	8000	2013-04-16	-0.0074	-0.01433	0.01888	NA	-0.12733
29	2013	D	Vt	Welch, Peter	NVS	Purchased	8000	2013-04-16	0.01204	0.04563	0.0456	0.01273	0.03264
30	2013	D	Vt	Welch, Peter	PNC	Purchased	8000	2013-04-16	-0.00629	-0.00307	0.0495	0.05859	0.11851
31	2013	D	Vt	Welch, Peter	RAD	Sold	175000	2013-04-16	NA	0.00311	0.1019	-0.04562	NA
32	2013	D	Vt	Welch, Peter	RAD	Sold	8000	2013-04-16	-0.00453	NA	-0.08798	-0.14092	NA
33	2013	D	Vt	Welch, Peter	RAD	Sold	32500	2013-04-16	-0.13439	-0.14663	-0.13627	-0.21514	NA
34	2013	D	Vt	Welch, Peter	RAD	Purchased	175000	2013-04-16	NA	0.00311	0.1019	-0.04562	NA
35	2013	D	Vt	Welch, Peter	SSNI	Purchased	8000	2013-04-16	-0.03407	0.02212	0.07859	0.0078	-0.53312
36	2013	D	Vt	Welch, Peter	SSNI	Sold	8000	2013-04-16	0.07737	0.09057	0.05809	NA	-0.44103
37	2013	D	Vt	Welch, Peter	SVU	Sold	175000	2013-04-16	-0.03071	-0.11893	-0.18696	-0.10809	0.05747
38	2013	D	Vt	Welch, Peter	TEF	Sold	8000	2013-04-16	-0.01911	0.05449	-0.05269	-0.01867	-0.20614
39	2013	D	Vt	Welch, Peter	TGT	Sold	8000	2013-04-16	-0.00444	-0.03919	-0.10216	NA	-0.08732
40	2013	D	Vt	Welch, Peter	UPS	Purchased	8000	2013-04-16	-0.00842	0.00419	-0.00419	NA	NA
41	2013	D	Vt	Welch, Peter	XRX	Purchased	8000	2013-04-16	-0.08173	-0.07036	-0.0654	-0.01267	0.10448
