Year	Party	State	Member	Ticker	Action	Value	Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	2013	R	Ky	Whitfield, Ed	INCY	Sold	32500	2013-07-29	0.02602	0.02578	0.42035	0.35368	1.28751
2	2013	R	Ky	Whitfield, Ed	INCY	Sold	8000	2013-07-29	-0.08979	-0.03667	-0.16395	-0.0819	0.82717
3	2013	R	Ky	Whitfield, Ed	INCY	Sold	32500	2013-07-29	0.02438	0.03085	0.05067	0.07127	0.6927
4	2013	R	Ky	Whitfield, Ed	INCY	Purchased	8000	2013-07-29	0.04639	0.02246	NA	NA	NA
5	2013	R	Ky	Whitfield, Ed	INCY	Sold	8000	2013-07-29	-0.0487	-0.04624	0.00737	0.01716	0.72514
6	2013	R	Ky	Whitfield, Ed	LMCA	Sold	8000	2013-07-29	-0.01308	-0.00929	-0.00538	0.00582	-0.14721
7	2013	R	Ky	Whitfield, Ed	LMCA	Purchased	8000	2013-07-29	-0.00684	0.00832	-0.03976	-0.04752	0.17144
8	2013	R	Ky	Whitfield, Ed	LMCA	Purchased	8000	2013-07-29	NA	-0.00624	NA	-0.03955	-0.05037
9	2013	R	Ky	Whitfield, Ed	LMCA	Purchased	8000	2013-07-29	0.0039	0.01823	0.00866	-0.05512	-0.04454
10	2013	R	Ky	Whitfield, Ed	LMCA	Purchased	8000	2013-07-29	-0.04743	0.00496	-0.05025	-0.04103	-0.01131
11	2013	R	Ky	Whitfield, Ed	VOD	Purchased	8000	2013-07-29	-0.01562	-0.04249	-0.01189	-0.08691	-0.17498
12	2013	R	Ky	Whitfield, Ed	VOD	Purchased	8000	2013-07-29	-0.01511	-0.01036	0.012	-0.09915	NA
13	2013	R	Ky	Whitfield, Ed	AEM	Purchased	8000	2013-07-29	-0.03924	-0.09404	0.10264	-0.06047	0.01969
14	2013	R	Ky	Whitfield, Ed	AEM	Sold	8000	2013-07-29	0.10199	0.12099	0.00596	0.24056	NA
15	2013	R	Ky	Whitfield, Ed	CBI	Purchased	8000	2013-07-29	0.01263	-0.08836	-0.18762	-0.27319	NA
16	2013	R	Ky	Whitfield, Ed	CBI	Purchased	8000	2013-07-29	-0.07348	-0.09865	NA	NA	NA
17	2013	R	Ky	Whitfield, Ed	CNQ	Purchased	8000	2013-07-29	NA	0.0221	-0.00969	0.11709	0.34737
18	2013	R	Ky	Whitfield, Ed	CTL	Sold	8000	2013-07-29	-0.00762	-0.06237	-0.06874	-0.13485	-0.23852
19	2013	R	Ky	Whitfield, Ed	DE	Purchased	32500	2013-07-29	NA	0.00136	-0.0318	-0.07859	-0.05155
20	2013	R	Ky	Whitfield, Ed	DIS	Purchased	8000	2013-07-29	0.00392	-0.00398	NA	NA	NA
21	2013	R	Ky	Whitfield, Ed	DOM	Sold	8000	2013-07-29	-0.4754	-0.45536	-0.51941	-0.37568	NA
22	2013	R	Ky	Whitfield, Ed	DOM	Sold	8000	2013-07-29	0.06389	0.215	-0.34686	-0.33474	NA
23	2013	R	Ky	Whitfield, Ed	INGR	Purchased	8000	2013-07-29	-0.00358	-0.01314	NA	NA	NA
24	2013	R	Ky	Whitfield, Ed	INGR	Purchased	8000	2013-07-29	0.04	0.04667	0.04698	0.0139	NA
25	2013	R	Ky	Whitfield, Ed	IP	Purchased	8000	2013-07-29	0.03669	0.03192	-0.03327	-0.04377	-0.01264
26	2013	R	Ky	Whitfield, Ed	IP	Purchased	8000	2013-07-29	0.01391	0.00833	0.03154	0.03265	0.03853
27	2013	R	Ky	Whitfield, Ed	IP	Purchased	8000	2013-07-29	0.01253	0.0126	0.00942	0.02511	0.04034
28	2013	R	Ky	Whitfield, Ed	IP	Purchased	8000	2013-07-29	-0.01181	-0.00681	0.01641	0.0174	NA
