Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	ADBE	Adobe Systems Incorporated	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2012-09-18	2012-09-25	2012-09-26	2012-10-02	2012-10-25	2012-11-26	2013-03-25
2	ADBE	Adobe Systems Incorporated	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2013-02-20	2013-02-27	2013-02-28	2013-03-06	2013-03-29	2013-04-29	2013-08-26
3	CSCO	Cisco Systems, Inc.	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2012-09-18	2012-09-25	2012-09-26	2012-10-02	2012-10-25	2012-11-26	2013-03-25
4	CSCO	Cisco Systems, Inc.	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2013-02-26	2013-03-05	2013-03-06	2013-03-12	2013-04-04	2013-05-06	2013-09-02
5	LINE	Linn Energy, LLC	Buchanan, Vernon(R-Fla)	Sold	$15,001 to $50,000	2012-12-21	2012-12-28	2012-12-31	2013-01-04	2013-01-28	2013-02-26	2013-06-26
6	LINE	Linn Energy, LLC	Buchanan, Vernon(R-Fla)	Sold	$15,001 to $50,000	2012-09-19	2012-09-26	2012-09-27	2012-10-03	2012-10-26	2012-11-26	2013-03-25
7	MSFT	Microsoft Corporation	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2013-02-26	2013-03-05	2013-03-06	2013-03-12	2013-04-04	2013-05-06	2013-09-02
8	MSFT	Microsoft Corporation	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2012-09-18	2012-09-25	2012-09-26	2012-10-02	2012-10-25	2012-11-26	2013-03-25
9	ABT	Abbott Laboratories	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2012-09-18	2012-09-25	2012-09-26	2012-10-02	2012-10-25	2012-11-26	2013-03-25
10	ABT	Abbott Laboratories	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2013-02-26	2013-03-05	2013-03-06	2013-03-12	2013-04-04	2013-05-06	2013-09-02
11	BPL	Buckeye Partners L.P.	Buchanan, Vernon(R-Fla)	Sold	$1,000 to $15,000	2012-09-19	2012-09-26	2012-09-27	2012-10-03	2012-10-26	2012-11-26	2013-03-25
