Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$15,001 to $50,000	2014-06-25	2014-07-02	2014-07-03	2014-07-09	2014-08-01	2014-09-01	2014-12-29
2	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-10-28	2013-11-04	2013-11-05	2013-11-11	2013-12-04	2014-01-03	2014-05-05
3	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-01-11	2013-01-18	2013-01-21	2013-01-25	2013-02-18	2013-03-19	2013-07-17
4	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-01-23	2013-01-30	2013-01-31	2013-02-06	2013-03-01	2013-04-01	2013-07-29
5	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$15,001 to $50,000	2012-12-14	2012-12-21	2012-12-24	2012-12-28	2013-01-21	2013-02-19	2013-06-19
6	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2012-10-16	2012-10-23	2012-10-24	2012-10-30	2012-11-22	2012-12-24	2013-04-22
7	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$15,001 to $50,000	2014-06-05	2014-06-12	2014-06-13	2014-06-19	2014-07-14	2014-08-11	2014-12-09
8	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Sold	$1,000 to $15,000	2012-10-25	2012-11-01	2012-11-02	2012-11-08	2012-12-03	2012-12-31	2013-04-30
9	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$15,001 to $50,000	2014-06-04	2014-06-11	2014-06-12	2014-06-18	2014-07-11	2014-08-11	2014-12-08
10	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2012-12-14	2012-12-21	2012-12-24	2012-12-28	2013-01-21	2013-02-19	2013-06-19
11	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-01-24	2013-01-31	2013-02-01	2013-02-07	2013-03-04	2013-04-01	2013-07-30
12	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-01-02	2013-01-09	2013-01-10	2013-01-16	2013-02-08	2013-03-11	2013-07-08
13	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-02-01	2013-02-08	2013-02-11	2013-02-15	2013-03-11	2013-04-09	2013-08-07
14	AAPL	Apple Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-08-14	2013-08-21	2013-08-22	2013-08-28	2013-09-20	2013-10-21	2014-02-17
15	AMGN	Amgen Inc.	Camp, Dave (R-Mich)	Purchased	$15,001 to $50,000	2014-01-03	2014-01-10	2014-01-13	2014-01-17	2014-02-10	2014-03-11	2014-07-09
16	AMGN	Amgen Inc.	Camp, Dave (R-Mich)	Purchased	$50,001 to $100,000	2013-11-05	2013-11-12	2013-11-13	2013-11-19	2013-12-12	2014-01-13	2014-05-12
17	AMZN	Amazon.com, Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-04-26	2013-05-03	2013-05-06	2013-05-10	2013-06-03	2013-07-02	2013-10-30
18	AMZN	Amazon.com, Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2013-05-17	2013-05-24	2013-05-27	2013-05-31	2013-06-24	2013-07-23	2013-11-20
19	AMZN	Amazon.com, Inc.	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2014-06-30	2014-07-07	2014-07-08	2014-07-14	2014-08-06	2014-09-05	2015-01-05
20	ARMH	ARM Holdings plc	Camp, Dave (R-Mich)	Purchased	$1,000 to $15,000	2014-01-21	2014-01-28	2014-01-29	2014-02-04	2014-02-27	2014-03-31	2014-07-28
