Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	ADP	Automatic Data Processing, Inc.	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
2	CME	CME Group Inc.	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
3	INTC	Intel Corporation	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
4	LLTC	Linear Technology Corporation	Clawson, Curt (R-FL)	Sold	$1,000 to $15,000	2014-08-07	2014-08-14	2014-08-15	2014-08-21	2014-09-15	2014-10-13	2015-02-10
5	LLTC	Linear Technology Corporation	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
6	MSFT	Microsoft Corporation	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
7	MSFT	Microsoft Corporation	Clawson, Curt (R-FL)	Purchased	$15,001 to $50,000	2014-08-07	2014-08-14	2014-08-15	2014-08-21	2014-09-15	2014-10-13	2015-02-10
8	RFMD	RF Micro Devices, Inc.	Clawson, Curt (R-FL)	Purchased	$15,001 to $50,000	2014-08-06	2014-08-13	2014-08-14	2014-08-20	2014-09-12	2014-10-13	2015-02-09
9	ABG	Asbury Automotive Group Inc	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
10	BA	Boeing Company (The)	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
11	BAX	Baxter International Inc.	Clawson, Curt (R-FL)	Sold	$1,000 to $15,000	2014-08-07	2014-08-14	2014-08-15	2014-08-21	2014-09-15	2014-10-13	2015-02-10
12	BLL	Ball Corporation	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
13	BNS	Bank of Nova Scotia (The)	Clawson, Curt (R-FL)	Sold	$1,000 to $15,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
14	CSX	CSX Corporation	Clawson, Curt (R-FL)	Sold	$1,000 to $15,000	2014-08-07	2014-08-14	2014-08-15	2014-08-21	2014-09-15	2014-10-13	2015-02-10
15	DFS	Discover Financial Services	Clawson, Curt (R-FL)	Sold	$15,001 to $50,000	2014-08-06	2014-08-13	2014-08-14	2014-08-20	2014-09-12	2014-10-13	2015-02-09
