Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2014-06-27	2014-07-04	2014-07-07	2014-07-11	2014-08-04	2014-09-02	2014-12-31
2	ATML	Atmel Corporation	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2012-10-24	2012-10-31	2012-11-01	2012-11-07	2012-11-30	2012-12-31	2013-04-29
3	ATML	Atmel Corporation	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2013-02-19	2013-02-26	2013-02-27	2013-03-05	2013-03-28	2013-04-29	2013-08-26
4	CSCO	Cisco Systems, Inc.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2013-06-18	2013-06-25	2013-06-26	2013-07-02	2013-07-25	2013-08-26	2013-12-23
5	CSCO	Cisco Systems, Inc.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2014-06-04	2014-06-11	2014-06-12	2014-06-18	2014-07-11	2014-08-11	2014-12-08
6	EBAY	eBay Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2013-12-23	2013-12-30	2013-12-31	2014-01-06	2014-01-29	2014-02-28	2014-06-30
7	EBAY	eBay Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2014-06-27	2014-07-04	2014-07-07	2014-07-11	2014-08-04	2014-09-02	2014-12-31
8	EBAY	eBay Inc.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2014-07-28	2014-08-04	2014-08-05	2014-08-11	2014-09-03	2014-10-03	2015-02-02
9	ENDP	Endo International plc	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2014-06-04	2014-06-11	2014-06-12	2014-06-18	2014-07-11	2014-08-11	2014-12-08
10	FLEX	Flextronics International Ltd.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2013-04-17	2013-04-24	2013-04-25	2013-05-01	2013-05-24	2013-06-24	2013-10-21
11	GILD	Gilead Sciences, Inc.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2012-08-15	2012-08-22	2012-08-23	2012-08-29	2012-09-21	2012-10-22	2013-02-18
12	INTC	Intel Corporation	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2013-08-28	2013-09-04	2013-09-05	2013-09-11	2013-10-04	2013-11-04	2014-03-03
13	IPXL	Impax Laboratories, Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2013-12-23	2013-12-30	2013-12-31	2014-01-06	2014-01-29	2014-02-28	2014-06-30
14	LINE	Linn Energy, LLC	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2013-08-28	2013-09-04	2013-09-05	2013-09-11	2013-10-04	2013-11-04	2014-03-03
15	NUAN	Nuance Communications, Inc.	Coble, Howard (R-NC)	Sold	$1,000 to $15,000	2013-12-23	2013-12-30	2013-12-31	2014-01-06	2014-01-29	2014-02-28	2014-06-30
16	NUAN	Nuance Communications, Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2013-04-17	2013-04-24	2013-04-25	2013-05-01	2013-05-24	2013-06-24	2013-10-21
17	NUAN	Nuance Communications, Inc.	Coble, Howard (R-NC)	Purchased	$1,000 to $15,000	2013-11-20	2013-11-27	2013-11-28	2013-12-04	2013-12-27	2014-01-27	2014-05-26
