Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	CSCO	Cisco Systems, Inc.	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
2	INTC	Intel Corporation	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
3	LMNX	Luminex Corporation	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
4	TXN	Texas Instruments Incorporated	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
5	WFM	Whole Foods Market, Inc.	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-01-03	2013-01-10	2013-01-11	2013-01-17	2013-02-11	2013-03-11	2013-07-09
6	WFM	Whole Foods Market, Inc.	Doggett, Lloyd (D-Texas)	Purchased	$1,000 to $15,000	2012-10-09	2012-10-16	2012-10-17	2012-10-23	2012-11-15	2012-12-17	2013-04-15
7	WFM	Whole Foods Market, Inc.	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2012-12-31	2013-01-07	2013-01-08	2013-01-14	2013-02-06	2013-03-08	2013-07-08
8	WFM	Whole Foods Market, Inc.	Doggett, Lloyd (D-Texas)	Purchased	$15,001 to $50,000	2012-12-31	2013-01-07	2013-01-08	2013-01-14	2013-02-06	2013-03-08	2013-07-08
9	APA	Apache Corporation	Doggett, Lloyd (D-Texas)	Sold	$100,001 to $250,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
10	APC	Anadarko Petroleum Corporation	Doggett, Lloyd (D-Texas)	Sold	$15,001 to $50,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
11	BAC	Bank of America Corporation	Doggett, Lloyd (D-Texas)	Sold	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
