Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-10-29	2013-11-05	2013-11-06	2013-11-12	2013-12-05	2014-01-06	2014-05-05
2	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-01-22	2013-01-29	2013-01-30	2013-02-05	2013-02-28	2013-04-01	2013-07-29
3	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-10-22	2013-10-29	2013-10-30	2013-11-05	2013-11-28	2013-12-30	2014-04-28
4	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-08-12	2013-08-19	2013-08-20	2013-08-26	2013-09-18	2013-10-18	2014-02-17
5	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-04-08	2013-04-15	2013-04-16	2013-04-22	2013-05-15	2013-06-14	2013-10-14
6	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-08-14	2013-08-21	2013-08-22	2013-08-28	2013-09-20	2013-10-21	2014-02-17
7	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-01-22	2013-01-29	2013-01-30	2013-02-05	2013-02-28	2013-04-01	2013-07-29
8	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-01-24	2013-01-31	2013-02-01	2013-02-07	2013-03-04	2013-04-01	2013-07-30
9	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-03-06	2013-03-13	2013-03-14	2013-03-20	2013-04-12	2013-05-13	2013-09-09
10	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-08-13	2013-08-20	2013-08-21	2013-08-27	2013-09-19	2013-10-21	2014-02-17
11	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2012-12-20	2012-12-27	2012-12-28	2013-01-03	2013-01-28	2013-02-25	2013-06-25
12	AAPL	Apple Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2012-10-04	2012-10-11	2012-10-12	2012-10-18	2012-11-12	2012-12-10	2013-04-09
13	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-10-29	2013-11-05	2013-11-06	2013-11-12	2013-12-05	2014-01-06	2014-05-05
14	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2012-12-20	2012-12-27	2012-12-28	2013-01-03	2013-01-28	2013-02-25	2013-06-25
15	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-04-08	2013-04-15	2013-04-16	2013-04-22	2013-05-15	2013-06-14	2013-10-14
16	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2014-01-24	2014-01-31	2014-02-03	2014-02-07	2014-03-03	2014-04-01	2014-07-30
17	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-01-22	2013-01-29	2013-01-30	2013-02-05	2013-02-28	2013-04-01	2013-07-29
18	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-03-06	2013-03-13	2013-03-14	2013-03-20	2013-04-12	2013-05-13	2013-09-09
19	AMZN	Amazon.com, Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-01-29	2013-02-05	2013-02-06	2013-02-12	2013-03-07	2013-04-08	2013-08-05
20	BBBY	Bed Bath & Beyond Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-04-02	2013-04-09	2013-04-10	2013-04-16	2013-05-09	2013-06-10	2013-10-07
21	BBBY	Bed Bath & Beyond Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2013-01-24	2013-01-31	2013-02-01	2013-02-07	2013-03-04	2013-04-01	2013-07-30
22	BBBY	Bed Bath & Beyond Inc.	Hinojosa, Ruben (D-Texas)	Sold	$1,000 to $15,000	2013-03-11	2013-03-18	2013-03-19	2013-03-25	2013-04-17	2013-05-17	2013-09-16
23	BIIB	Biogen Idec Inc.	Hinojosa, Ruben (D-Texas)	Purchased	$1,000 to $15,000	2014-01-24	2014-01-31	2014-02-03	2014-02-07	2014-03-03	2014-04-01	2014-07-30
