Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2012-11-14	2012-11-21	2012-11-22	2012-11-28	2012-12-21	2013-01-21	2013-05-20
2	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-10-29	2013-11-05	2013-11-06	2013-11-12	2013-12-05	2014-01-06	2014-05-05
3	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-10-21	2013-10-28	2013-10-29	2013-11-04	2013-11-27	2013-12-27	2014-04-28
4	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2012-10-10	2012-10-17	2012-10-18	2012-10-24	2012-11-16	2012-12-17	2013-04-15
5	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-02-21	2013-02-28	2013-03-01	2013-03-07	2013-04-01	2013-04-29	2013-08-27
6	AAPL	Apple Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-03-16	2013-03-25	2013-03-25	2013-04-01	2013-04-22	2013-05-22	2013-09-19
7	AMGN	Amgen Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-01-17	2014-01-24	2014-01-27	2014-01-31	2014-02-24	2014-03-25	2014-07-23
8	AMGN	Amgen Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-08-07	2014-08-14	2014-08-15	2014-08-21	2014-09-15	2014-10-13	2015-02-10
9	AMGN	Amgen Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-12-30	2014-01-06	2014-01-07	2014-01-13	2014-02-05	2014-03-07	2014-07-07
10	ATOS	Atossa Genetics Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-10-16	2013-10-23	2013-10-24	2013-10-30	2013-11-22	2013-12-23	2014-04-21
11	ATOS	Atossa Genetics Inc.	Kelly, Mike (R-Pa)	Purchased	$15,001 to $50,000	2013-09-13	2013-09-20	2013-09-23	2013-09-27	2013-10-21	2013-11-19	2014-03-19
12	BEAV	B/E Aerospace, Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-06-05	2014-06-12	2014-06-13	2014-06-19	2014-07-14	2014-08-11	2014-12-09
13	BEAV	B/E Aerospace, Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-05-02	2013-05-09	2013-05-10	2013-05-16	2013-06-10	2013-07-08	2013-11-05
14	CELG	Celgene Corporation	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-08-29	2013-09-05	2013-09-06	2013-09-12	2013-10-07	2013-11-04	2014-03-04
15	CELG	Celgene Corporation	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2014-03-12	2014-03-19	2014-03-20	2014-03-26	2014-04-18	2014-05-19	2014-09-15
16	CHKP	Check Point Software Technologies Ltd.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-08-28	2014-09-04	2014-09-05	2014-09-11	2014-10-06	2014-11-03	2015-03-03
17	CSCO	Cisco Systems, Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-11-18	2013-11-25	2013-11-26	2013-12-02	2013-12-25	2014-01-24	2014-05-26
18	CSCO	Cisco Systems, Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-06-05	2014-06-12	2014-06-13	2014-06-19	2014-07-14	2014-08-11	2014-12-09
19	CSCO	Cisco Systems, Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-06-25	2014-07-02	2014-07-03	2014-07-09	2014-08-01	2014-09-01	2014-12-29
20	GILD	Gilead Sciences, Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-07-18	2014-07-25	2014-07-28	2014-08-01	2014-08-25	2014-09-23	2015-01-21
21	GILD	Gilead Sciences, Inc.	Kelly, Mike (R-Pa)	Purchased	$0 to $0	2014-05-31	2014-06-09	2014-06-09	2014-06-16	2014-07-07	2014-08-06	2014-12-04
22	GOOG	Google Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2012-11-02	2012-11-09	2012-11-12	2012-11-16	2012-12-10	2013-01-08	2013-05-08
23	GOOG	Google Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-10-29	2013-11-05	2013-11-06	2013-11-12	2013-12-05	2014-01-06	2014-05-05
24	GOOG	Google Inc.	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2014-06-05	2014-06-12	2014-06-13	2014-06-19	2014-07-14	2014-08-11	2014-12-09
25	GOOG	Google Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-07-01	2013-07-08	2013-07-09	2013-07-15	2013-08-07	2013-09-06	2014-01-06
26	GOOG	Google Inc.	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-10-21	2013-10-28	2013-10-29	2013-11-04	2013-11-27	2013-12-27	2014-04-28
27	INTC	Intel Corporation	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-07-22	2013-07-29	2013-07-30	2013-08-05	2013-08-28	2013-09-27	2014-01-27
28	JAZZ	Jazz Pharmaceuticals plc	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-08-30	2013-09-06	2013-09-09	2013-09-13	2013-10-07	2013-11-05	2014-03-05
29	JAZZ	Jazz Pharmaceuticals plc	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2014-02-20	2014-02-27	2014-02-28	2014-03-06	2014-03-31	2014-04-28	2014-08-26
30	JAZZ	Jazz Pharmaceuticals plc	Kelly, Mike (R-Pa)	Sold	$0 to $0	2014-05-31	2014-06-09	2014-06-09	2014-06-16	2014-07-07	2014-08-06	2014-12-04
31	JAZZ	Jazz Pharmaceuticals plc	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2013-08-29	2013-09-05	2013-09-06	2013-09-12	2013-10-07	2013-11-04	2014-03-04
32	MSFT	Microsoft Corporation	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-02-07	2014-02-14	2014-02-17	2014-02-21	2014-03-17	2014-04-15	2014-08-13
33	MSFT	Microsoft Corporation	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2012-11-02	2012-11-09	2012-11-12	2012-11-16	2012-12-10	2013-01-08	2013-05-08
34	MSFT	Microsoft Corporation	Kelly, Mike (R-Pa)	Purchased	$1,000 to $15,000	2014-03-31	2014-04-07	2014-04-08	2014-04-14	2014-05-07	2014-06-06	2014-10-06
35	MSFT	Microsoft Corporation	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2014-08-28	2014-09-04	2014-09-05	2014-09-11	2014-10-06	2014-11-03	2015-03-03
36	MSFT	Microsoft Corporation	Kelly, Mike (R-Pa)	Sold	$1,000 to $15,000	2013-07-22	2013-07-29	2013-07-30	2013-08-05	2013-08-28	2013-09-27	2014-01-27
