Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2012-12-18	2012-12-25	2012-12-26	2013-01-01	2013-01-24	2013-02-25	2013-06-24
2	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2012-12-13	2012-12-20	2012-12-21	2012-12-27	2013-01-21	2013-02-18	2013-06-18
3	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$50,001 to $100,000	2013-04-25	2013-05-02	2013-05-03	2013-05-09	2013-06-03	2013-07-01	2013-10-29
4	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2013-10-08	2013-10-15	2013-10-16	2013-10-22	2013-11-14	2013-12-16	2014-04-14
5	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2014-02-07	2014-02-14	2014-02-17	2014-02-21	2014-03-17	2014-04-15	2014-08-13
6	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2012-12-24	2012-12-31	2013-01-01	2013-01-07	2013-01-30	2013-03-01	2013-07-01
7	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2013-12-19	2013-12-26	2013-12-27	2014-01-02	2014-01-27	2014-02-24	2014-06-24
8	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2012-10-15	2012-10-22	2012-10-23	2012-10-29	2012-11-21	2012-12-21	2013-04-22
9	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2013-12-05	2013-12-12	2013-12-13	2013-12-19	2014-01-13	2014-02-10	2014-06-10
10	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2014-02-04	2014-02-11	2014-02-12	2014-02-18	2014-03-13	2014-04-14	2014-08-11
11	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2013-02-01	2013-02-08	2013-02-11	2013-02-15	2013-03-11	2013-04-09	2013-08-07
12	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2012-01-19	2012-01-26	2012-01-27	2012-02-02	2012-02-27	2012-03-26	2012-07-24
13	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2014-09-16	2014-09-23	2014-09-24	2014-09-30	2014-10-23	2014-11-24	2015-03-23
14	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2013-01-23	2013-01-30	2013-01-31	2013-02-06	2013-03-01	2013-04-01	2013-07-29
15	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2014-05-07	2014-05-14	2014-05-15	2014-05-21	2014-06-13	2014-07-14	2014-11-10
16	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$50,001 to $100,000	2013-04-22	2013-04-29	2013-04-30	2013-05-06	2013-05-29	2013-06-28	2013-10-28
17	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2013-06-27	2013-07-04	2013-07-05	2013-07-11	2013-08-05	2013-09-02	2013-12-31
18	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2012-11-27	2012-12-04	2012-12-05	2012-12-11	2013-01-03	2013-02-04	2013-06-03
19	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2012-12-07	2012-12-14	2012-12-17	2012-12-21	2013-01-14	2013-02-12	2013-06-12
20	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$15,001 to $50,000	2013-04-10	2013-04-17	2013-04-18	2013-04-24	2013-05-17	2013-06-17	2013-10-14
21	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$1,000 to $15,000	2012-10-19	2012-10-26	2012-10-29	2012-11-02	2012-11-26	2012-12-25	2013-04-24
22	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$100,001 to $250,000	2013-04-29	2013-05-06	2013-05-07	2013-05-13	2013-06-05	2013-07-05	2013-11-04
23	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$15,001 to $50,000	2013-04-12	2013-04-19	2013-04-22	2013-04-26	2013-05-20	2013-06-18	2013-10-16
24	AAPL	Apple Inc.	McCaul, Michael (R-Texas)	Sold	$250,001 to $500,000	2013-04-29	2013-05-06	2013-05-07	2013-05-13	2013-06-05	2013-07-05	2013-11-04
25	ACHC	Acadia Healthcare Company, Inc.	McCaul, Michael (R-Texas)	Purchased	$1,000 to $15,000	2014-03-26	2014-04-02	2014-04-03	2014-04-09	2014-05-02	2014-06-02	2014-09-29
26	ACHC	Acadia Healthcare Company, Inc.	McCaul, Michael (R-Texas)	Purchased	$15,001 to $50,000	2014-09-12	2014-09-19	2014-09-22	2014-09-26	2014-10-20	2014-11-18	2015-03-18
27	ACHC	Acadia Healthcare Company, Inc.	McCaul, Michael (R-Texas)	Purchased	$15,001 to $50,000	2014-03-20	2014-03-27	2014-03-28	2014-04-03	2014-04-28	2014-05-26	2014-09-23
