Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AMGN	Amgen Inc.	Price, Tom (R-Ga)	Sold	$100,001 to $250,000	2012-11-12	2012-11-19	2012-11-20	2012-11-26	2012-12-19	2013-01-18	2013-05-20
2	AMZN	Amazon.com, Inc.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
3	AMZN	Amazon.com, Inc.	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
4	BEAV	B/E Aerospace, Inc.	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2013-08-06	2013-08-13	2013-08-14	2013-08-20	2013-09-12	2013-10-14	2014-02-10
5	CSCO	Cisco Systems, Inc.	Price, Tom (R-Ga)	Sold	$15,001 to $50,000	2012-11-12	2012-11-19	2012-11-20	2012-11-26	2012-12-19	2013-01-18	2013-05-20
6	ESRX	Express Scripts Holding Company	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
7	ESRX	Express Scripts Holding Company	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
8	FFIV	F5 Networks, Inc.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
9	INCY	Incyte Corporation	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
10	INTC	Intel Corporation	Price, Tom (R-Ga)	Sold	$15,001 to $50,000	2012-11-12	2012-11-19	2012-11-20	2012-11-26	2012-12-19	2013-01-18	2013-05-20
11	JAZZ	Jazz Pharmaceuticals plc	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2013-08-06	2013-08-13	2013-08-14	2013-08-20	2013-09-12	2013-10-14	2014-02-10
12	MDLZ	Mondelez International, Inc.	Price, Tom (R-Ga)	Sold	$15,001 to $50,000	2012-11-12	2012-11-19	2012-11-20	2012-11-26	2012-12-19	2013-01-18	2013-05-20
13	MNST	Monster Beverage Corporation	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
14	NDSN	Nordson Corporation	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
15	PENN	Penn National Gaming, Inc.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
16	PENN	Penn National Gaming, Inc.	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
17	PNRA	Panera Bread Company	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-10-24	2013-10-31	2013-11-01	2013-11-07	2013-12-02	2013-12-30	2014-04-29
18	PNRA	Panera Bread Company	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
19	SBUX	Starbucks Corporation	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
20	SBUX	Starbucks Corporation	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-09-28	2012-10-05	2012-10-08	2012-10-12	2012-11-05	2012-12-04	2013-04-03
21	SBUX	Starbucks Corporation	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
22	STX	Seagate Technology.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
23	SWKS	Skyworks Solutions, Inc.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
24	WFM	Whole Foods Market, Inc.	Price, Tom (R-Ga)	Sold	$1,000 to $15,000	2013-04-30	2013-05-07	2013-05-08	2013-05-14	2013-06-06	2013-07-08	2013-11-04
25	WFM	Whole Foods Market, Inc.	Price, Tom (R-Ga)	Purchased	$1,000 to $15,000	2012-12-17	2012-12-24	2012-12-25	2012-12-31	2013-01-23	2013-02-22	2013-06-24
