Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	ALGT	Allegiant Travel Company	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2012-10-05	2012-10-12	2012-10-15	2012-10-19	2012-11-12	2012-12-11	2013-04-10
2	ALGT	Allegiant Travel Company	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2012-09-14	2012-09-21	2012-09-24	2012-09-28	2012-10-22	2012-11-20	2013-03-20
3	AMGN	Amgen Inc.	Rahall, Nick (D-WVa)	Sold	$15,001 to $50,000	2013-05-23	2013-05-30	2013-05-31	2013-06-06	2013-07-01	2013-07-29	2013-11-26
4	AMGN	Amgen Inc.	Rahall, Nick (D-WVa)	Sold	$15,001 to $50,000	2014-01-08	2014-01-15	2014-01-16	2014-01-22	2014-02-14	2014-03-17	2014-07-14
5	AMGN	Amgen Inc.	Rahall, Nick (D-WVa)	Sold	$15,001 to $50,000	2013-05-30	2013-06-06	2013-06-07	2013-06-13	2013-07-08	2013-08-05	2013-12-03
6	AMGN	Amgen Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2014-01-23	2014-01-30	2014-01-31	2014-02-06	2014-03-03	2014-03-31	2014-07-29
7	BWLD	Buffalo Wild Wings, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-01-29	2013-02-05	2013-02-06	2013-02-12	2013-03-07	2013-04-08	2013-08-05
8	BWLD	Buffalo Wild Wings, Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-02-04	2013-02-11	2013-02-12	2013-02-18	2013-03-13	2013-04-12	2013-08-12
9	CME	CME Group Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2012-09-07	2012-09-14	2012-09-17	2012-09-21	2012-10-15	2012-11-13	2013-03-13
10	CME	CME Group Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-11-05	2013-11-12	2013-11-13	2013-11-19	2013-12-12	2014-01-13	2014-05-12
11	CME	CME Group Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2012-09-05	2012-09-12	2012-09-13	2012-09-19	2012-10-12	2012-11-12	2013-03-11
12	CME	CME Group Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-11-11	2013-11-18	2013-11-19	2013-11-25	2013-12-18	2014-01-17	2014-05-19
13	IACI	IAC/InterActiveCorp	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-05-10	2013-05-17	2013-05-20	2013-05-24	2013-06-17	2013-07-16	2013-11-13
14	IACI	IAC/InterActiveCorp	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-07-15	2013-07-22	2013-07-23	2013-07-29	2013-08-21	2013-09-20	2014-01-20
15	MSFT	Microsoft Corporation	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-10-17	2013-10-24	2013-10-25	2013-10-31	2013-11-25	2013-12-23	2014-04-22
16	MSFT	Microsoft Corporation	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-10-08	2013-10-15	2013-10-16	2013-10-22	2013-11-14	2013-12-16	2014-04-14
17	OTTR	Otter Tail Corporation	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2012-12-28	2013-01-04	2013-01-07	2013-01-11	2013-02-04	2013-03-05	2013-07-03
18	OTTR	Otter Tail Corporation	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-03-05	2013-03-12	2013-03-13	2013-03-19	2013-04-11	2013-05-13	2013-09-09
19	OTTR	Otter Tail Corporation	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2012-11-06	2012-11-13	2012-11-14	2012-11-20	2012-12-13	2013-01-14	2013-05-13
20	OTTR	Otter Tail Corporation	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2014-01-23	2014-01-30	2014-01-31	2014-02-06	2014-03-03	2014-03-31	2014-07-29
21	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-06-05	2013-06-12	2013-06-13	2013-06-19	2013-07-12	2013-08-12	2013-12-09
22	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-06-03	2013-06-10	2013-06-11	2013-06-17	2013-07-10	2013-08-09	2013-12-09
23	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-06-27	2013-07-04	2013-07-05	2013-07-11	2013-08-05	2013-09-02	2013-12-31
24	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2014-02-26	2014-03-05	2014-03-06	2014-03-12	2014-04-04	2014-05-05	2014-09-01
25	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2014-02-26	2014-03-05	2014-03-06	2014-03-12	2014-04-04	2014-05-05	2014-09-01
26	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-05-31	2013-06-07	2013-06-10	2013-06-14	2013-07-08	2013-08-06	2013-12-04
27	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2014-01-27	2014-02-03	2014-02-04	2014-02-10	2014-03-05	2014-04-04	2014-08-04
28	TSLA	Tesla Motors, Inc.	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2014-01-23	2014-01-30	2014-01-31	2014-02-06	2014-03-03	2014-03-31	2014-07-29
29	UHAL	Amerco	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2012-09-04	2012-09-11	2012-09-12	2012-09-18	2012-10-11	2012-11-12	2013-03-11
30	UHAL	Amerco	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2012-08-31	2012-09-07	2012-09-10	2012-09-14	2012-10-08	2012-11-06	2013-03-06
31	UHAL	Amerco	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2012-08-17	2012-08-24	2012-08-27	2012-08-31	2012-09-24	2012-10-23	2013-02-20
32	UHAL	Amerco	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2012-08-10	2012-08-17	2012-08-20	2012-08-24	2012-09-17	2012-10-16	2013-02-13
33	AAP	Advance Auto Parts Inc	Rahall, Nick (D-WVa)	Purchased	$1,000 to $15,000	2013-02-07	2013-02-14	2013-02-15	2013-02-21	2013-03-18	2013-04-15	2013-08-13
34	AAP	Advance Auto Parts Inc	Rahall, Nick (D-WVa)	Sold	$1,000 to $15,000	2013-02-07	2013-02-14	2013-02-15	2013-02-21	2013-03-18	2013-04-15	2013-08-13
