Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2014-02-10	2014-02-17	2014-02-18	2014-02-24	2014-03-19	2014-04-18	2014-08-18
2	ADBE	Adobe Systems Incorporated	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2013-01-04	2013-01-11	2013-01-14	2013-01-18	2013-02-11	2013-03-12	2013-07-10
3	ARMH	ARM Holdings plc	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-01-04	2013-01-11	2013-01-14	2013-01-18	2013-02-11	2013-03-12	2013-07-10
4	ARMH	ARM Holdings plc	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2012-12-24	2012-12-31	2013-01-01	2013-01-07	2013-01-30	2013-03-01	2013-07-01
5	ATVI	Activision Blizzard, Inc	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2012-09-12	2012-09-19	2012-09-20	2012-09-26	2012-10-19	2012-11-19	2013-03-18
6	BBBY	Bed Bath & Beyond Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-05-15	2013-05-22	2013-05-23	2013-05-29	2013-06-21	2013-07-22	2013-11-18
7	BBBY	Bed Bath & Beyond Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-08-22	2012-08-29	2012-08-30	2012-09-05	2012-09-28	2012-10-29	2013-02-25
8	BIIB	Biogen Idec Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2014-08-19	2014-08-26	2014-08-27	2014-09-02	2014-09-25	2014-10-27	2015-02-23
9	BRCM	Broadcom Corporation	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-09-09	2013-09-16	2013-09-17	2013-09-23	2013-10-16	2013-11-15	2014-03-17
10	CELG	Celgene Corporation	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2013-06-06	2013-06-13	2013-06-14	2013-06-20	2013-07-15	2013-08-12	2013-12-10
11	CHKP	Check Point Software Technologies Ltd.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2012-10-29	2012-11-05	2012-11-06	2012-11-12	2012-12-05	2013-01-04	2013-05-06
12	COST	Costco Wholesale Corporation	Rogers, Hal (R-Ky)	Purchased	$0 to $0	2014-05-16	2014-05-23	2014-05-26	2014-05-30	2014-06-23	2014-07-22	2014-11-19
13	CSCO	Cisco Systems, Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-10-17	2012-10-24	2012-10-25	2012-10-31	2012-11-23	2012-12-24	2013-04-22
14	CSCO	Cisco Systems, Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2012-08-07	2012-08-14	2012-08-15	2012-08-21	2012-09-13	2012-10-15	2013-02-11
15	CSCO	Cisco Systems, Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2013-04-24	2013-05-01	2013-05-02	2013-05-08	2013-05-31	2013-07-01	2013-10-28
16	CTSH	Cognizant Technology Solutions Corporation	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2014-01-21	2014-01-28	2014-01-29	2014-02-04	2014-02-27	2014-03-31	2014-07-28
17	CTXS	Citrix Systems, Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-11-06	2012-11-13	2012-11-14	2012-11-20	2012-12-13	2013-01-14	2013-05-13
18	CTXS	Citrix Systems, Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2014-01-17	2014-01-24	2014-01-27	2014-01-31	2014-02-24	2014-03-25	2014-07-23
19	EBAY	eBay Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-08-21	2012-08-28	2012-08-29	2012-09-04	2012-09-27	2012-10-29	2013-02-25
20	FAST	Fastenal Company	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-08-27	2013-09-03	2013-09-04	2013-09-10	2013-10-03	2013-11-04	2014-03-03
21	FAST	Fastenal Company	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2013-02-01	2013-02-08	2013-02-11	2013-02-15	2013-03-11	2013-04-09	2013-08-07
22	GILD	Gilead Sciences, Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2014-07-11	2014-07-18	2014-07-21	2014-07-25	2014-08-18	2014-09-16	2015-01-14
23	GILD	Gilead Sciences, Inc.	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2014-06-25	2014-07-02	2014-07-03	2014-07-09	2014-08-01	2014-09-01	2014-12-29
24	HCBK	Hudson City Bancorp, Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-06-20	2013-06-27	2013-06-28	2013-07-04	2013-07-29	2013-08-26	2013-12-24
25	INTC	Intel Corporation	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-11-21	2012-11-28	2012-11-29	2012-12-05	2012-12-28	2013-01-28	2013-05-27
26	ISRG	Intuitive Surgical, Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-05-30	2013-06-06	2013-06-07	2013-06-13	2013-07-08	2013-08-05	2013-12-03
27	MDLZ	Mondelez International, Inc.	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2014-04-08	2014-04-15	2014-04-16	2014-04-22	2014-05-15	2014-06-16	2014-10-13
28	MSFT	Microsoft Corporation	Rogers, Hal (R-Ky)	Purchased	$1,000 to $15,000	2012-11-06	2012-11-13	2012-11-14	2012-11-20	2012-12-13	2013-01-14	2013-05-13
29	MSFT	Microsoft Corporation	Rogers, Hal (R-Ky)	Sold	$1,000 to $15,000	2013-09-03	2013-09-10	2013-09-11	2013-09-17	2013-10-10	2013-11-11	2014-03-10
