Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAL	American Airlines Group, Inc.	Schneider, Brad (D-Ill)	Purchased	$100,001 to $250,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
2	AAPL	Apple Inc.	Schneider, Brad (D-Ill)	Sold	$50,001 to $100,000	2013-01-15	2013-01-22	2013-01-23	2013-01-29	2013-02-21	2013-03-25	2013-07-22
3	ACGL	Arch Capital Group Ltd.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2013-02-28	2013-03-07	2013-03-08	2013-03-14	2013-04-08	2013-05-06	2013-09-03
4	AKAM	Akamai Technologies, Inc.	Schneider, Brad (D-Ill)	Purchased	$15,001 to $50,000	2014-02-26	2014-03-05	2014-03-06	2014-03-12	2014-04-04	2014-05-05	2014-09-01
5	AKAM	Akamai Technologies, Inc.	Schneider, Brad (D-Ill)	Sold	$50,001 to $100,000	2014-04-02	2014-04-09	2014-04-10	2014-04-16	2014-05-09	2014-06-09	2014-10-06
6	ALOG	Analogic Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
7	AMKR	Amkor Technology, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-01-17	2014-01-24	2014-01-27	2014-01-31	2014-02-24	2014-03-25	2014-07-23
8	AUXL	Auxilium Pharmaceuticals, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
9	AZPN	Aspen Technology, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
10	BEAV	B/E Aerospace, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-09-26	2014-10-03	2014-10-06	2014-10-10	2014-11-03	2014-12-02	2015-04-01
11	BECN	Beacon Roofing Supply, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
12	BOBE	Bob Evans Farms, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
13	BOBE	Bob Evans Farms, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-02-21	2014-02-28	2014-03-03	2014-03-07	2014-03-31	2014-04-29	2014-08-27
14	BWLD	Buffalo Wild Wings, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
15	CAR	Avis Budget Group, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-01-17	2013-01-24	2013-01-25	2013-01-31	2013-02-25	2013-03-25	2013-07-23
16	DISH	DISH Network Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-05-23	2013-05-30	2013-05-31	2013-06-06	2013-07-01	2013-07-29	2013-11-26
17	ECOL	US Ecology, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
18	FNGN	Financial Engines, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
19	GEOS	Geospace Technologies Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
20	GEOS	Geospace Technologies Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-02-07	2013-02-14	2013-02-15	2013-02-21	2013-03-18	2013-04-15	2013-08-13
21	GILD	Gilead Sciences, Inc.	Schneider, Brad (D-Ill)	Sold	$15,001 to $50,000	2013-12-06	2013-12-13	2013-12-16	2013-12-20	2014-01-13	2014-02-11	2014-06-11
22	GTLS	Chart Industries, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
23	HEES	H&E Equipment Services, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
24	HIBB	Hibbett Sports, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
25	IART	Integra LifeSciences Holdings Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
26	IBCP	Independent Bank Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
27	LANC	Lancaster Colony Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
28	LKQ	LKQ Corporation	Schneider, Brad (D-Ill)	Sold	$50,001 to $100,000	2014-06-13	2014-06-20	2014-06-23	2014-06-27	2014-07-21	2014-08-19	2014-12-17
29	LKQ	LKQ Corporation	Schneider, Brad (D-Ill)	Purchased	$50,001 to $100,000	2014-05-27	2014-06-03	2014-06-04	2014-06-10	2014-07-03	2014-08-04	2014-12-01
30	LMNX	Luminex Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
31	MENT	Mentor Graphics Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
32	MGEE	MGE Energy Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
33	MKSI	MKS Instruments, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
34	MPWR	Monolithic Power Systems, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
35	MSFT	Microsoft Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
36	MSFT	Microsoft Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-06-25	2014-07-02	2014-07-03	2014-07-09	2014-08-01	2014-09-01	2014-12-29
37	ONB	Old National Bancorp	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
38	OSIS	OSI Systems, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
39	PODD	Insulet Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
40	ROSE	Rosetta Resources Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
41	SGMS	Scientific Games Corp	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-02-04	2014-02-11	2014-02-12	2014-02-18	2014-03-13	2014-04-14	2014-08-11
42	SGMS	Scientific Games Corp	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-02-04	2014-02-11	2014-02-12	2014-02-18	2014-03-13	2014-04-14	2014-08-11
43	SIVB	SVB Financial Group	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
44	TECH	Techne Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-10-17	2013-10-24	2013-10-25	2013-10-31	2013-11-25	2013-12-23	2014-04-22
45	TYPE	Monotype Imaging Holdings Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
46	VRNT	Verint Systems Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
47	AA	Alcoa Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-09-26	2014-10-03	2014-10-06	2014-10-10	2014-11-03	2014-12-02	2015-04-01
48	ACI	Arch Coal, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-01-14	2013-01-21	2013-01-22	2013-01-28	2013-02-20	2013-03-22	2013-07-22
49	ADS	Alliance Data Systems Corporation	Schneider, Brad (D-Ill)	Purchased	$50,001 to $100,000	2013-06-14	2013-06-21	2013-06-24	2013-06-28	2013-07-22	2013-08-20	2013-12-18
50	AEL	American Equity Investment Life Holding Company	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-13	2014-01-20	2014-01-21	2014-01-27	2014-02-19	2014-03-21	2014-07-21
51	AIG	American International Group, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2013-02-28	2013-03-07	2013-03-08	2013-03-14	2013-04-08	2013-05-06	2013-09-03
52	AMG	Affiliated Managers Group, Inc.	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2013-02-28	2013-03-07	2013-03-08	2013-03-14	2013-04-08	2013-05-06	2013-09-03
53	AMT	American Tower Corporation (REIT)	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-01-10	2014-01-17	2014-01-20	2014-01-24	2014-02-17	2014-03-18	2014-07-16
54	AMT	American Tower Corporation (REIT)	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-01-10	2014-01-17	2014-01-20	2014-01-24	2014-02-17	2014-03-18	2014-07-16
55	AMT	American Tower Corporation (REIT)	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2013-03-28	2013-04-04	2013-04-05	2013-04-11	2013-05-06	2013-06-03	2013-10-01
56	AMT	American Tower Corporation (REIT)	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-03-28	2013-04-04	2013-04-05	2013-04-11	2013-05-06	2013-06-03	2013-10-01
57	AMT	American Tower Corporation (REIT)	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-08-08	2014-08-15	2014-08-18	2014-08-22	2014-09-15	2014-10-14	2015-02-11
58	AN	AutoNation, Inc.	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-01-15	2014-01-22	2014-01-23	2014-01-29	2014-02-21	2014-03-24	2014-07-21
59	AXP	American Express Company	Schneider, Brad (D-Ill)	Purchased	$50,001 to $100,000	2013-05-07	2013-05-14	2013-05-15	2013-05-21	2013-06-13	2013-07-15	2013-11-11
60	AXP	American Express Company	Schneider, Brad (D-Ill)	Sold	$50,001 to $100,000	2013-05-13	2013-05-20	2013-05-21	2013-05-27	2013-06-19	2013-07-19	2013-11-18
61	BA	Boeing Company (The)	Schneider, Brad (D-Ill)	Sold	$15,001 to $50,000	2013-12-06	2013-12-13	2013-12-16	2013-12-20	2014-01-13	2014-02-11	2014-06-11
62	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-08-18	2014-08-25	2014-08-26	2014-09-01	2014-09-24	2014-10-24	2015-02-23
63	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2013-01-23	2013-01-30	2013-01-31	2013-02-06	2013-03-01	2013-04-01	2013-07-29
64	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2014-09-03	2014-09-10	2014-09-11	2014-09-17	2014-10-10	2014-11-10	2015-03-09
65	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Purchased	$1,000 to $15,000	2013-01-24	2013-01-31	2013-02-01	2013-02-07	2013-03-04	2013-04-01	2013-07-30
66	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-08-12	2014-08-19	2014-08-20	2014-08-26	2014-09-18	2014-10-20	2015-02-16
67	BAC	Bank of America Corporation	Schneider, Brad (D-Ill)	Sold	$1,000 to $15,000	2014-08-18	2014-08-25	2014-08-26	2014-09-01	2014-09-24	2014-10-24	2015-02-23
