Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2014-09-12	2014-09-19	2014-09-22	2014-09-26	2014-10-20	2014-11-18	2015-03-18
2	AAPL	Apple Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-08-29	2013-09-05	2013-09-06	2013-09-12	2013-10-07	2013-11-04	2014-03-04
3	AAPL	Apple Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-09-19	2013-09-26	2013-09-27	2013-10-03	2013-10-28	2013-11-25	2014-03-25
4	AVGO	Avago Technologies Limited	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-05-14	2013-05-21	2013-05-22	2013-05-28	2013-06-20	2013-07-22	2013-11-18
5	AVGO	Avago Technologies Limited	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2014-05-19	2014-05-26	2014-05-27	2014-06-02	2014-06-25	2014-07-25	2014-11-24
6	AVGO	Avago Technologies Limited	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2012-12-05	2012-12-12	2012-12-13	2012-12-19	2013-01-11	2013-02-11	2013-06-10
7	AVGO	Avago Technologies Limited	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2013-11-14	2013-11-21	2013-11-22	2013-11-28	2013-12-23	2014-01-20	2014-05-20
8	AVGO	Avago Technologies Limited	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2012-09-26	2012-10-03	2012-10-04	2012-10-10	2012-11-02	2012-12-03	2013-04-01
9	CELG	Celgene Corporation	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2014-05-27	2014-06-03	2014-06-04	2014-06-10	2014-07-03	2014-08-04	2014-12-01
10	CELG	Celgene Corporation	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2014-07-31	2014-08-07	2014-08-08	2014-08-14	2014-09-08	2014-10-06	2015-02-03
11	CELG	Celgene Corporation	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2014-04-22	2014-04-29	2014-04-30	2014-05-06	2014-05-29	2014-06-30	2014-10-27
12	CSCO	Cisco Systems, Inc.	Schrader, Kurt (D-Ore)	Purchased	$15,001 to $50,000	2013-10-17	2013-10-24	2013-10-25	2013-10-31	2013-11-25	2013-12-23	2014-04-22
13	CTXS	Citrix Systems, Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-10-17	2013-10-24	2013-10-25	2013-10-31	2013-11-25	2013-12-23	2014-04-22
14	CTXS	Citrix Systems, Inc.	Schrader, Kurt (D-Ore)	Sold	$1,000 to $15,000	2014-09-16	2014-09-23	2014-09-24	2014-09-30	2014-10-23	2014-11-24	2015-03-23
15	CTXS	Citrix Systems, Inc.	Schrader, Kurt (D-Ore)	Purchased	$1,000 to $15,000	2013-11-25	2013-12-02	2013-12-03	2013-12-09	2014-01-01	2014-01-31	2014-06-02
16	EBAY	eBay Inc.	Schrader, Kurt (D-Ore)	Sold	$15,001 to $50,000	2014-09-30	2014-10-07	2014-10-08	2014-10-14	2014-11-06	2014-12-08	2015-04-06
