Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	ARTX	Arotech Corporation	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2014-01-24	2014-01-31	2014-02-03	2014-02-07	2014-03-03	2014-04-01	2014-07-30
2	ARTX	Arotech Corporation	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2014-06-04	2014-06-11	2014-06-12	2014-06-18	2014-07-11	2014-08-11	2014-12-08
3	ARTX	Arotech Corporation	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2014-06-20	2014-06-27	2014-06-30	2014-07-04	2014-07-28	2014-08-26	2014-12-24
4	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-05-23	2013-05-30	2013-05-31	2013-06-06	2013-07-01	2013-07-29	2013-11-26
5	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-06-19	2013-06-26	2013-06-27	2013-07-03	2013-07-26	2013-08-26	2013-12-23
6	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2013-08-30	2013-09-06	2013-09-09	2013-09-13	2013-10-07	2013-11-05	2014-03-05
7	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2014-07-09	2014-07-16	2014-07-17	2014-07-23	2014-08-15	2014-09-15	2015-01-12
8	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2014-05-08	2014-05-15	2014-05-16	2014-05-22	2014-06-16	2014-07-14	2014-11-11
9	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2013-05-20	2013-05-27	2013-05-28	2013-06-03	2013-06-26	2013-07-26	2013-11-25
10	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-07-25	2013-08-01	2013-08-02	2013-08-08	2013-09-02	2013-09-30	2014-01-28
11	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-06-17	2014-06-24	2014-06-25	2014-07-01	2014-07-24	2014-08-25	2014-12-22
12	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-09-10	2014-09-17	2014-09-18	2014-09-24	2014-10-17	2014-11-17	2015-03-16
13	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2014-08-08	2014-08-15	2014-08-18	2014-08-22	2014-09-15	2014-10-14	2015-02-11
14	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-08-08	2014-08-15	2014-08-18	2014-08-22	2014-09-15	2014-10-14	2015-02-11
15	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2014-07-15	2014-07-22	2014-07-23	2014-07-29	2014-08-21	2014-09-22	2015-01-19
16	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2013-12-04	2013-12-11	2013-12-12	2013-12-18	2014-01-10	2014-02-10	2014-06-09
17	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-05-21	2013-05-28	2013-05-29	2013-06-04	2013-06-27	2013-07-29	2013-11-25
18	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-11-19	2013-11-26	2013-11-27	2013-12-03	2013-12-26	2014-01-27	2014-05-26
19	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-09-09	2013-09-16	2013-09-17	2013-09-23	2013-10-16	2013-11-15	2014-03-17
20	ARUN	Aruba Networks, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2014-08-22	2014-08-29	2014-09-01	2014-09-05	2014-09-29	2014-10-28	2015-02-25
21	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-07-19	2013-07-26	2013-07-29	2013-08-02	2013-08-26	2013-09-24	2014-01-22
22	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2013-12-05	2013-12-12	2013-12-13	2013-12-19	2014-01-13	2014-02-10	2014-06-10
23	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-07-12	2013-07-19	2013-07-22	2013-07-26	2013-08-19	2013-09-17	2014-01-15
24	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-08-02	2013-08-09	2013-08-12	2013-08-16	2013-09-09	2013-10-08	2014-02-05
25	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2014-01-27	2014-02-03	2014-02-04	2014-02-10	2014-03-05	2014-04-04	2014-08-04
26	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-01-09	2014-01-16	2014-01-17	2014-01-23	2014-02-17	2014-03-17	2014-07-15
27	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-07-25	2013-08-01	2013-08-02	2013-08-08	2013-09-02	2013-09-30	2014-01-28
28	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2014-10-01	2014-10-08	2014-10-09	2014-10-15	2014-11-07	2014-12-08	2015-04-06
29	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-12-19	2013-12-26	2013-12-27	2014-01-02	2014-01-27	2014-02-24	2014-06-24
30	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-01-03	2014-01-10	2014-01-13	2014-01-17	2014-02-10	2014-03-11	2014-07-09
31	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2014-01-08	2014-01-15	2014-01-16	2014-01-22	2014-02-14	2014-03-17	2014-07-14
32	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-05-30	2013-06-06	2013-06-07	2013-06-13	2013-07-08	2013-08-05	2013-12-03
33	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-05-21	2013-05-28	2013-05-29	2013-06-04	2013-06-27	2013-07-29	2013-11-25
34	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-05-22	2013-05-29	2013-05-30	2013-06-05	2013-06-28	2013-07-29	2013-11-25
35	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2013-05-31	2013-06-07	2013-06-10	2013-06-14	2013-07-08	2013-08-06	2013-12-04
36	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-07-24	2013-07-31	2013-08-01	2013-08-07	2013-08-30	2013-09-30	2014-01-27
37	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$15,001 to $50,000	2013-12-18	2013-12-25	2013-12-26	2014-01-01	2014-01-24	2014-02-24	2014-06-23
38	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$1,000 to $15,000	2014-01-10	2014-01-17	2014-01-20	2014-01-24	2014-02-17	2014-03-18	2014-07-16
39	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Sold	$15,001 to $50,000	2014-03-04	2014-03-11	2014-03-12	2014-03-18	2014-04-10	2014-05-12	2014-09-08
40	BLDP	Ballard Power Systems, Inc.	Scott, Austin (R-Ga)	Purchased	$1,000 to $15,000	2013-08-08	2013-08-15	2013-08-16	2013-08-22	2013-09-16	2013-10-14	2014-02-11
