Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-11-02	2012-11-09	2012-11-12	2012-11-16	2012-12-10	2013-01-08	2013-05-08
2	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-12-20	2013-12-27	2013-12-30	2014-01-03	2014-01-27	2014-02-25	2014-06-25
3	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-06-17	2013-06-24	2013-06-25	2013-07-01	2013-07-24	2013-08-23	2013-12-23
4	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-10	2012-10-17	2012-10-18	2012-10-24	2012-11-16	2012-12-17	2013-04-15
5	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-12-10	2013-12-17	2013-12-18	2013-12-24	2014-01-16	2014-02-17	2014-06-16
6	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2014-01-30	2014-02-06	2014-02-07	2014-02-13	2014-03-10	2014-04-07	2014-08-05
7	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-11	2012-10-18	2012-10-19	2012-10-25	2012-11-19	2012-12-17	2013-04-16
8	AAPL	Apple Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-09-24	2012-10-01	2012-10-02	2012-10-08	2012-10-31	2012-11-30	2013-04-01
9	AGNC	American Capital Agency Corp.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-05-29	2013-06-05	2013-06-06	2013-06-12	2013-07-05	2013-08-05	2013-12-02
10	AGNC	American Capital Agency Corp.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-02-14	2013-02-21	2013-02-22	2013-02-28	2013-03-25	2013-04-22	2013-08-20
11	AGNC	American Capital Agency Corp.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-09-24	2012-10-01	2012-10-02	2012-10-08	2012-10-31	2012-11-30	2013-04-01
12	AKAM	Akamai Technologies, Inc.	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2013-02-19	2013-02-26	2013-02-27	2013-03-05	2013-03-28	2013-04-29	2013-08-26
13	AKAM	Akamai Technologies, Inc.	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2014-01-09	2014-01-16	2014-01-17	2014-01-23	2014-02-17	2014-03-17	2014-07-15
14	AMGN	Amgen Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-02-14	2013-02-21	2013-02-22	2013-02-28	2013-03-25	2013-04-22	2013-08-20
15	AMZN	Amazon.com, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-11-02	2012-11-09	2012-11-12	2012-11-16	2012-12-10	2013-01-08	2013-05-08
16	AMZN	Amazon.com, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-23	2012-10-30	2012-10-31	2012-11-06	2012-11-29	2012-12-31	2013-04-29
17	AMZN	Amazon.com, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-10	2012-10-17	2012-10-18	2012-10-24	2012-11-16	2012-12-17	2013-04-15
18	AMZN	Amazon.com, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-09-27	2013-10-04	2013-10-07	2013-10-11	2013-11-04	2013-12-03	2014-04-02
19	AMZN	Amazon.com, Inc.	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2014-04-03	2014-04-10	2014-04-11	2014-04-17	2014-05-12	2014-06-09	2014-10-07
20	BEAV	B/E Aerospace, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-10	2012-10-17	2012-10-18	2012-10-24	2012-11-16	2012-12-17	2013-04-15
21	BEAV	B/E Aerospace, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-11-18	2013-11-25	2013-11-26	2013-12-02	2013-12-25	2014-01-24	2014-05-26
22	BEAV	B/E Aerospace, Inc.	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-11-02	2012-11-09	2012-11-12	2012-11-16	2012-12-10	2013-01-08	2013-05-08
23	CERN	Cerner Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-07-13	2012-07-20	2012-07-23	2012-07-27	2012-08-20	2012-09-18	2013-01-16
24	CMCSA	Comcast Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-05-29	2013-06-05	2013-06-06	2013-06-12	2013-07-05	2013-08-05	2013-12-02
25	CMCSA	Comcast Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-02-14	2013-02-21	2013-02-22	2013-02-28	2013-03-25	2013-04-22	2013-08-20
26	COST	Costco Wholesale Corporation	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2012-12-27	2013-01-03	2013-01-04	2013-01-10	2013-02-04	2013-03-04	2013-07-02
27	COST	Costco Wholesale Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2013-06-03	2013-06-10	2013-06-11	2013-06-17	2013-07-10	2013-08-09	2013-12-09
28	COST	Costco Wholesale Corporation	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2013-03-28	2013-04-04	2013-04-05	2013-04-11	2013-05-06	2013-06-03	2013-10-01
29	COST	Costco Wholesale Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2014-04-24	2014-05-01	2014-05-02	2014-05-08	2014-06-02	2014-06-30	2014-10-28
30	COST	Costco Wholesale Corporation	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2013-02-15	2013-02-22	2013-02-25	2013-03-01	2013-03-25	2013-04-23	2013-08-21
31	CSGP	CoStar Group, Inc.	Smith, Lamar (R-Texas)	Purchased	$1,000 to $15,000	2014-04-24	2014-05-01	2014-05-02	2014-05-08	2014-06-02	2014-06-30	2014-10-28
32	CTSH	Cognizant Technology Solutions Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2012-10-10	2012-10-17	2012-10-18	2012-10-24	2012-11-16	2012-12-17	2013-04-15
33	CTSH	Cognizant Technology Solutions Corporation	Smith, Lamar (R-Texas)	Sold	$1,000 to $15,000	2014-01-09	2014-01-16	2014-01-17	2014-01-23	2014-02-17	2014-03-17	2014-07-15
