Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	AAL	American Airlines Group, Inc.	Welch, Peter (D-Vt)	Sold	$15,001 to $50,000	2013-01-30	2013-02-06	2013-02-07	2013-02-13	2013-03-08	2013-04-08	2013-08-05
2	AAL	American Airlines Group, Inc.	Welch, Peter (D-Vt)	Purchased	$100,001 to $250,000	2014-08-01	2014-08-08	2014-08-11	2014-08-15	2014-09-08	2014-10-07	2015-02-04
3	AAL	American Airlines Group, Inc.	Welch, Peter (D-Vt)	Sold	$100,001 to $250,000	2014-05-12	2014-05-19	2014-05-20	2014-05-26	2014-06-18	2014-07-18	2014-11-17
4	ALLT	Allot Communications Ltd.	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-12-31	2013-01-07	2013-01-08	2013-01-14	2013-02-06	2013-03-08	2013-07-08
5	COST	Costco Wholesale Corporation	Welch, Peter (D-Vt)	Purchased	$1,000 to $15,000	2013-03-14	2013-03-21	2013-03-22	2013-03-28	2013-04-22	2013-05-20	2013-09-17
6	CSCO	Cisco Systems, Inc.	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-12-31	2013-01-07	2013-01-08	2013-01-14	2013-02-06	2013-03-08	2013-07-08
7	CSCO	Cisco Systems, Inc.	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-12-26	2013-01-02	2013-01-03	2013-01-09	2013-02-01	2013-03-04	2013-07-01
8	FMI	Foundation Medicine, Inc.	Welch, Peter (D-Vt)	Purchased	$1,000 to $15,000	2013-11-19	2013-11-26	2013-11-27	2013-12-03	2013-12-26	2014-01-27	2014-05-26
9	INTC	Intel Corporation	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-08-16	2012-08-23	2012-08-24	2012-08-30	2012-09-24	2012-10-22	2013-02-19
10	INTC	Intel Corporation	Welch, Peter (D-Vt)	Purchased	$1,000 to $15,000	2012-10-01	2012-10-08	2012-10-09	2012-10-15	2012-11-07	2012-12-07	2013-04-08
11	INTC	Intel Corporation	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-12-31	2013-01-07	2013-01-08	2013-01-14	2013-02-06	2013-03-08	2013-07-08
12	INTC	Intel Corporation	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2014-07-30	2014-08-06	2014-08-07	2014-08-13	2014-09-05	2014-10-06	2015-02-02
13	MSFT	Microsoft Corporation	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2013-05-23	2013-05-30	2013-05-31	2013-06-06	2013-07-01	2013-07-29	2013-11-26
14	MSFT	Microsoft Corporation	Welch, Peter (D-Vt)	Sold	$1,000 to $15,000	2012-12-26	2013-01-02	2013-01-03	2013-01-09	2013-02-01	2013-03-04	2013-07-01
15	ORBK	Orbotech Ltd.	Welch, Peter (D-Vt)	Purchased	$1,000 to $15,000	2014-04-30	2014-05-07	2014-05-08	2014-05-14	2014-06-06	2014-07-07	2014-11-03
