Ticker	Name	Member	Action	Value	Date.of.Transaction	Est.Date.of.Report	After.One.Day	One.Week	One.Month	Two.Months	Six.Months
1	INCY	Incyte Corporation	Whitfield, Ed (R-Ky)	Sold	$15,001 to $50,000	2013-08-02	2013-08-09	2013-08-12	2013-08-16	2013-09-09	2013-10-08	2014-02-05
2	INCY	Incyte Corporation	Whitfield, Ed (R-Ky)	Sold	$1,000 to $15,000	2013-05-14	2013-05-21	2013-05-22	2013-05-28	2013-06-20	2013-07-22	2013-11-18
3	INCY	Incyte Corporation	Whitfield, Ed (R-Ky)	Sold	$15,001 to $50,000	2013-09-03	2013-09-10	2013-09-11	2013-09-17	2013-10-10	2013-11-11	2014-03-10
4	INCY	Incyte Corporation	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-09-22	2014-09-29	2014-09-30	2014-10-06	2014-10-29	2014-11-28	2015-03-30
5	INCY	Incyte Corporation	Whitfield, Ed (R-Ky)	Sold	$1,000 to $15,000	2013-08-21	2013-08-28	2013-08-29	2013-09-04	2013-09-27	2013-10-28	2014-02-24
6	LMCA	Liberty Media Corporation	Whitfield, Ed (R-Ky)	Sold	$1,000 to $15,000	2013-07-29	2013-08-05	2013-08-06	2013-08-12	2013-09-04	2013-10-04	2014-02-03
7	LMCA	Liberty Media Corporation	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2013-01-22	2013-01-29	2013-01-30	2013-02-05	2013-02-28	2013-04-01	2013-07-29
8	LMCA	Liberty Media Corporation	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-01-10	2014-01-17	2014-01-20	2014-01-24	2014-02-17	2014-03-18	2014-07-16
9	LMCA	Liberty Media Corporation	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-02-05	2014-02-12	2014-02-13	2014-02-19	2014-03-14	2014-04-14	2014-08-11
10	LMCA	Liberty Media Corporation	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-03-04	2014-03-11	2014-03-12	2014-03-18	2014-04-10	2014-05-12	2014-09-08
11	VOD	Vodafone Group Plc	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-01-29	2014-02-05	2014-02-06	2014-02-12	2014-03-07	2014-04-07	2014-08-04
12	VOD	Vodafone Group Plc	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-04-07	2014-04-14	2014-04-15	2014-04-21	2014-05-14	2014-06-13	2014-10-13
13	AEM	Agnico Eagle Mines Limited	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2013-07-24	2013-07-31	2013-08-01	2013-08-07	2013-08-30	2013-09-30	2014-01-27
14	AEM	Agnico Eagle Mines Limited	Whitfield, Ed (R-Ky)	Sold	$1,000 to $15,000	2014-04-30	2014-05-07	2014-05-08	2014-05-14	2014-06-06	2014-07-07	2014-11-03
15	CBI	Chicago Bridge & Iron Company N.V.	Whitfield, Ed (R-Ky)	Purchased	$1,000 to $15,000	2014-05-30	2014-06-06	2014-06-09	2014-06-13	2014-07-07	2014-08-05	2014-12-03
