Date,Open,High,Low,Close,Volume,Adj Close
2014-10-30,20885.02,21056.21,20798.96,21005.50,000,21005.50
2014-10-29,20928.81,20985.29,20745.55,20885.02,000,20885.02
2014-10-28,20654.16,20928.81,20654.16,20928.81,000,20928.81
2014-10-27,20690.13,20690.13,20528.66,20654.16,000,20654.16
2014-10-24,20563.99,20696.53,20511.46,20690.13,000,20690.13
2014-10-23,20307.95,20680.27,20307.95,20563.99,000,20563.99
2014-10-22,20483.44,20566.08,20304.68,20307.95,000,20307.95
2014-10-21,20089.40,20493.78,20089.40,20483.44,000,20483.44
2014-10-20,19900.42,20095.24,19860.42,20089.39,000,20089.39
2014-10-17,19682.83,20028.74,19682.83,19900.42,000,19900.42
2014-10-16,19617.56,19812.30,19360.41,19682.83,000,19682.83
2014-10-15,19707.63,19707.63,19160.13,19617.56,000,19617.56
2014-10-14,19652.02,19934.88,19639.47,19707.63,000,19707.63
2014-10-13,19975.65,20046.58,19644.89,19652.02,000,19652.02
2014-10-10,20234.90,20318.53,19975.01,19975.65,000,19975.65
2014-10-09,20677.58,20677.58,20233.37,20234.90,000,20234.90
2014-10-08,20350.96,20688.09,20217.09,20677.58,000,20677.58
2014-10-07,20665.04,20665.04,20349.11,20350.96,000,20350.96
2014-10-06,20715.53,20815.02,20607.74,20665.04,000,20665.04
2014-10-03,20500.46,20750.27,20500.46,20715.53,000,20715.53
2014-10-02,20476.54,20560.74,20259.04,20500.46,000,20500.46
2014-10-01,20760.46,20760.46,20428.42,20476.54,000,20476.54
2014-09-30,20842.01,20898.49,20732.57,20760.46,000,20760.46
2014-09-29,20885.67,20885.67,20688.46,20842.01,000,20842.01
2014-09-26,20707.32,20916.20,20707.32,20885.67,000,20885.67
2014-09-25,21038.17,21038.17,20707.31,20707.32,000,20707.32
2014-09-24,20877.00,21055.08,20833.54,21038.17,000,21038.17
2014-09-23,21008.37,21024.57,20877.00,20877.00,000,20877.00
2014-09-22,21219.88,21219.88,20976.86,21008.37,000,21008.37
2014-09-19,21254.01,21329.33,21172.14,21219.88,000,21219.88
2014-09-18,21160.72,21263.51,21160.72,21254.01,000,21254.01
2014-09-17,21128.77,21258.36,21076.02,21160.72,000,21160.72
2014-09-16,20978.92,21160.95,20925.60,21128.77,000,21128.77
2014-09-15,21041.43,21041.43,20933.15,20978.92,000,20978.92
2014-09-12,21182.54,21182.54,20986.39,21041.43,000,21041.43
2014-09-11,21151.84,21183.32,21054.91,21182.54,000,21182.54
2014-09-10,21075.32,21158.58,21017.28,21151.84,000,21151.84
2014-09-09,21221.96,21221.96,21038.20,21075.32,000,21075.32
2014-09-08,21270.32,21276.68,21153.49,21221.96,000,21221.96
2014-09-05,21169.98,21270.32,21088.51,21270.32,000,21270.32
2014-09-04,21213.18,21319.71,21119.76,21169.98,000,21169.98
2014-09-03,21244.43,21318.00,21187.72,21213.18,000,21213.18
2014-09-02,21233.89,21277.51,21162.96,21244.43,000,21244.43
2014-08-29,21150.55,21234.37,21132.02,21233.83,000,21233.83
2014-08-28,21192.48,21192.48,21084.04,21150.55,000,21150.55
2014-08-27,21193.54,21218.08,21153.89,21192.48,000,21192.48
2014-08-26,21153.17,21236.75,21153.17,21193.54,000,21193.54
2014-08-25,21054.86,21196.34,21054.86,21153.17,000,21153.17
2014-08-22,21084.51,21093.90,21006.06,21054.86,000,21054.86
2014-08-21,21031.55,21106.56,21014.33,21084.51,000,21084.51
2014-08-20,20989.23,21051.95,20941.54,21031.55,000,21031.55
2014-08-19,20892.62,20998.35,20892.62,20989.23,000,20989.23
2014-08-18,20704.88,20892.79,20704.88,20892.62,000,20892.62
2014-08-15,20704.33,20802.27,20563.93,20704.88,000,20704.88
2014-08-14,20617.51,20704.41,20617.51,20704.33,000,20704.33
2014-08-13,20476.17,20633.86,20476.17,20617.51,000,20617.51
2014-08-12,20527.13,20552.45,20418.16,20476.17,000,20476.17
2014-08-11,20436.16,20611.97,20436.16,20527.13,000,20527.13
2014-08-08,20216.38,20444.02,20206.18,20436.16,000,20436.16
2014-08-07,20319.41,20407.09,20164.16,20216.38,000,20216.38
2014-08-06,20320.47,20404.55,20218.44,20319.41,000,20319.41
2014-08-05,20501.20,20501.20,20247.48,20320.47,000,20320.47
2014-08-04,20345.99,20538.23,20302.45,20501.20,000,20501.20
2014-08-01,20410.81,20477.87,20247.03,20346.01,000,20346.01
2014-07-31,20830.54,20830.54,20410.74,20410.81,000,20410.81
2014-07-30,20816.36,20919.56,20752.64,20830.54,000,20830.54
2014-07-29,20895.05,20964.18,20816.36,20816.36,000,20816.36
2014-07-28,20907.17,20925.65,20780.00,20895.05,000,20895.05
2014-07-25,21021.06,21021.06,20867.00,20907.17,000,20907.17
2014-07-24,21010.60,21068.04,20996.42,21021.06,000,21021.06
2014-07-23,20972.80,21037.87,20964.48,21010.60,000,21010.60
2014-07-22,20861.57,21005.43,20861.57,20972.80,000,20972.80
2014-07-21,20912.56,20912.56,20775.02,20861.57,000,20861.57
2014-07-18,20687.69,20926.92,20687.69,20912.56,000,20912.56
2014-07-17,20934.20,20938.20,20659.03,20687.69,000,20687.69
2014-07-16,20865.85,20979.19,20865.85,20934.20,000,20934.20
2014-07-15,20927.26,20980.31,20780.47,20865.85,000,20865.85
2014-07-14,20828.87,20963.55,20828.87,20927.26,000,20927.26
2014-07-11,20805.67,20841.38,20746.93,20828.86,000,20828.86
2014-07-10,20903.70,20903.70,20666.93,20805.67,000,20805.67
2014-07-09,20808.69,20916.15,20808.69,20903.70,000,20903.70
2014-07-08,20979.36,20979.36,20753.38,20808.69,000,20808.69
2014-07-07,21107.54,21107.54,20957.39,20979.36,000,20979.36
2014-07-03,20997.11,21108.12,20997.11,21107.54,000,21107.54
2014-07-02,21008.86,21034.93,20979.69,20997.11,000,20997.11
2014-07-01,20862.84,21070.57,20862.84,21008.86,000,21008.86
